"Year","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
1990,-8.759721,-6.881212,0.017578,-2.167000,-7.139578,-16.212413,-16.276077,-17.284447,-14.142480,-15.762600,-15.630780,-11.641080,-3.919447,-6.865340,-4.816313
1991,-5.745882,-4.781914,1.363978,-2.123000,-7.022757,-15.486107,-13.223833,-13.751833,-8.130833,-18.953187,-15.063767,-1.643767,1.516533,-6.614113,-4.630230
1992,-5.691905,-5.030346,2.489644,-2.346667,-6.946698,-15.071957,-9.752600,-9.807600,-1.275267,-22.135853,-14.491033,9.386300,7.004800,-6.508533,-4.437143
1993,-5.602776,-5.278007,3.728978,-2.566667,-8.685568,-10.731733,-7.917800,-7.514467,4.233533,-25.367287,-13.956067,20.418933,11.132367,-6.340853,-4.249300
1994,-3.392878,-3.993474,2.220566,-4.909667,-8.882448,-5.871123,-3.474533,-2.554200,10.598133,-26.783737,-11.828667,31.983233,16.989867,3.340593,4.696157
1995,-3.155119,-4.241906,0.313899,-7.300333,-8.270791,0.044877,0.980467,2.395800,16.413467,-27.082537,-9.739400,43.506467,23.166367,16.424933,13.642721
1996,-5.627884,-6.573452,-4.537101,-9.746000,-11.339182,1.567553,3.935800,5.864467,15.302467,-29.214563,-0.975700,55.024200,29.439300,22.293520,22.588500
1997,-4.484895,-7.295570,-9.388101,-12.184333,-11.244984,6.773560,6.825133,9.322133,14.154800,-28.257663,7.763800,74.037700,35.541000,40.837290,31.532527
1998,-5.276381,-8.019229,-14.231767,-14.564000,-14.522265,6.828587,9.853800,12.776133,12.996133,-31.240580,16.507993,78.284800,41.025233,41.051833,40.481467
1999,-7.407414,-10.844741,-14.325698,-12.342000,-18.202154,8.955817,11.463467,14.873467,11.877800,-28.365137,28.576167,86.821900,48.964300,39.845150,37.132077
2000,-7.254631,-11.567630,-14.388031,-10.123667,-22.909233,9.757763,13.073500,16.983267,9.802833,-26.839867,40.654167,95.349100,56.461167,42.100030,33.785657
2001,-7.146777,-13.029853,-14.399031,-7.832000,-21.791189,5.169607,12.252167,15.878500,9.883500,-20.131357,37.712400,77.330000,53.589067,56.282823,33.372401
2002,-7.083351,-13.423445,-16.247031,-5.518333,-21.375861,-0.197243,11.639833,14.609833,10.019167,-14.229700,34.764400,57.793267,52.141833,58.977477,32.958754
2003,-6.785657,-13.815497,-14.424331,-3.171667,-19.238334,-3.711403,10.650200,13.748533,9.630867,-6.369497,31.822633,39.021400,47.531733,67.670160,32.545700
2004,-1.359052,-10.381235,-14.317919,-3.014000,-18.895854,-9.246477,10.837200,13.620200,8.288867,-8.043877,22.915567,23.742400,42.551667,72.772160,38.739543
2005,-2.130174,-11.210800,-15.333586,-2.863667,-16.512173,-13.113637,11.031900,13.495900,8.391900,-7.392850,14.226667,6.190067,37.329967,82.851477,44.933544
2006,-2.425744,-11.229242,-12.698780,-2.724333,-15.639963,-9.082767,10.045567,12.201567,7.999567,-6.150393,5.420433,-6.627867,32.819967,95.802297,51.097086
2007,-1.850282,-11.188749,-11.130975,-2.471333,-16.150698,-6.903967,9.055933,10.903933,7.629600,-7.058050,-3.364900,-6.594867,26.659233,84.399090,48.924810
2008,-0.637122,-8.329845,-9.638641,-2.475000,-14.431699,-4.140800,8.069967,9.606300,7.244967,-7.065893,-12.171133,-6.710000,23.565667,77.602077,46.752200
2009,,-11.339716,-7.843000,-2.482333,-17.233634,-3.561810,4.341333,5.918000,6.871333,-3.941600,-18.184467,-8.365867,20.181700,70.457507,42.108697
2010,,,-6.035333,-2.893000,-19.503538,-2.499787,1.671633,2.557500,7.010300,-7.327037,-17.764303,-10.374870,14.897997,65.466920,37.807183
2011,,,,-3.094667,-21.150060,-5.427927,7.418840,4.100507,7.257507,-8.546417,-16.354030,-10.701130,11.660037,49.081040,26.071236
2012,,,,,-23.669811,-8.164000,14.036073,5.899740,6.922740,-8.883987,-13.313447,-11.597080,7.713053,34.473653,14.492427
2013,,,,,,-10.888020,18.486013,7.347780,6.563113,-11.376670,-12.471433,-12.485367,3.202100,19.126870,2.962300
2014,,,,,,,24.668233,10.621233,8.197567,-9.478273,-8.363667,-7.302900,4.292933,19.257690,6.567477
2015,,,,,,,,13.927650,9.954450,-11.687490,-5.327630,-2.372297,5.270870,20.710163,10.424916
2016,,,,,,,,,12.196067,-7.987840,-2.437783,1.853683,5.866850,19.027030,14.072813
2017,,,,,,,,,,-7.086170,0.547287,6.710953,6.236120,24.771087,17.837013
2018,,,,,,,,,,,5.130473,12.252167,8.707967,20.563957,21.574007
2019,,,,,,,,,,,,9.554967,4.897933,14.252307,19.125113
2020,,,,,,,,,,,,,8.187300,7.987780,15.963644
2021,,,,,,,,,,,,,,2.604370,4.577137
2022,,,,,,,,,,,,,,,3.946507
