"Year","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
1990,3.260994,3.602737,3.602334,3.491799,3.487805,3.864984,3.870676,3.939352,2.205070,4.076991,4.116293,3.430956,3.509369,4.034038,3.813216
1991,3.223739,3.553114,3.547758,3.442145,3.451958,3.477572,3.479004,3.545685,2.244105,3.971024,4.012735,3.228761,3.296339,3.693473,3.434199
1992,3.092878,3.410049,3.388309,3.285331,3.308401,3.318605,3.315279,3.371429,2.135337,3.785310,3.828661,3.112768,3.173399,3.574990,3.316220
1993,2.754857,3.073166,3.069710,2.974296,2.987880,3.012073,3.008040,3.053507,1.982741,3.421661,3.466410,2.837398,2.891087,3.263752,3.010863
1994,2.403515,2.667958,2.645359,2.573270,2.582976,2.574620,2.560631,2.596321,1.696145,2.928919,2.974760,2.388574,2.436368,2.729384,2.549875
1995,1.975451,2.197647,2.180319,2.119248,2.132664,2.132104,2.118477,2.154885,1.467493,2.541961,2.589793,2.040303,2.077185,2.357678,2.194329
1996,1.753441,1.927996,1.913813,1.858443,1.878302,1.872355,1.858585,1.890709,1.257645,2.398102,2.447728,1.920991,1.959043,2.279417,2.133956
1997,1.553861,1.702290,1.697591,1.644831,1.667664,1.666699,1.655994,1.686536,1.115285,2.413283,2.462567,1.957649,1.997644,2.305467,2.151619
1998,1.466602,1.621115,1.613081,1.558255,1.582973,1.612603,1.607325,1.632950,1.071719,2.488224,2.540599,1.995413,2.035246,2.554736,2.393130
1999,1.345934,1.482640,1.491275,1.436591,1.460959,1.486480,1.483044,1.508552,1.009154,2.414918,2.467620,1.892983,1.932736,2.205987,2.057535
2000,1.552766,1.683728,1.691936,1.572889,1.597107,1.609674,1.606882,1.635915,1.130715,2.788266,2.843915,2.073444,2.116957,2.269779,2.103546
2001,1.506572,1.647322,1.644829,1.422600,1.446876,1.448753,1.446846,1.473449,1.219954,1.412395,1.469296,2.019649,2.060501,2.200388,2.044919
2002,1.483667,1.638153,1.636877,1.510201,1.533149,1.537870,1.535046,1.560357,1.199720,1.417428,1.475629,2.182192,2.223495,2.377043,2.176562
2003,1.653177,1.819936,1.820868,1.686899,1.708351,1.711249,1.714831,1.740331,1.318847,1.583989,1.643645,2.297321,2.339660,2.464648,2.251259
2004,1.703558,1.895957,1.892931,1.756528,1.776573,1.779492,1.784077,1.811699,1.381242,1.651406,1.712702,2.157605,2.202926,2.506418,2.289578
2005,1.765228,1.933453,1.929469,1.797555,1.815951,1.818479,1.824655,1.849656,1.375274,1.632567,1.696373,2.145412,2.192597,2.407054,2.194954
2006,1.885969,2.051679,2.046780,1.905155,1.922045,1.926042,1.931964,1.961769,1.472035,1.745855,1.812332,2.017293,2.071038,2.405232,2.179716
2007,1.918422,2.114933,2.109620,1.978578,1.991761,1.995645,2.001520,2.038551,1.530592,1.815193,1.878694,1.842809,1.902948,2.248862,2.055645
2008,1.974095,2.312408,2.286210,2.135821,2.148689,2.157031,2.160203,2.191861,1.647584,1.925479,1.995637,1.641912,1.697083,2.135248,1.948686
2009,,2.295815,2.265280,2.126383,2.138784,2.142808,2.136880,2.169046,1.579190,1.871425,1.944759,1.414707,1.474996,2.012851,1.838860
2010,,,2.449781,2.301261,2.312782,2.318463,2.312631,2.345745,1.714783,2.025406,2.104585,1.362952,1.425021,1.904206,1.750922
2011,,,,2.315923,2.329891,2.336284,2.331313,2.365582,1.722893,2.060271,2.141784,1.371993,1.431425,1.927063,1.779530
2012,,,,,2.376989,2.411535,2.404897,2.439262,1.769979,2.063297,2.149306,1.328206,1.386957,1.891405,1.741757
2013,,,,,,2.507089,2.414165,2.449540,1.802980,2.112977,2.202783,1.366668,1.426717,1.942440,1.784237
2014,,,,,,,2.026810,2.326801,1.794469,2.082036,2.175695,1.394428,1.456753,1.994479,1.844783
2015,,,,,,,,2.252034,1.742570,2.019051,2.114326,1.404221,1.465959,1.977814,1.821893
2016,,,,,,,,,1.790113,2.054645,2.150426,1.434220,1.502505,1.989646,1.826745
2017,,,,,,,,,,2.106808,2.208469,1.503089,1.574397,2.116327,1.940991
2018,,,,,,,,,,,2.313307,1.567167,1.641730,2.222334,2.036128
2019,,,,,,,,,,,,1.595520,1.675621,2.240369,2.066744
2020,,,,,,,,,,,,,1.742013,2.237723,2.061728
2021,,,,,,,,,,,,,,2.396854,2.114245
2022,,,,,,,,,,,,,,,2.026644
