"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar","Oil","Other"
2019,-0.710000,-0.110000,-0.390000,"NaN",0.300000,0.240000,"NaN",-0.190000
2020,-1.930000,3.140000,-0.430000,"NaN",0.390000,0.840000,"NaN",0.030000
2021,-1.230000,4.080000,-0.390000,"NaN",0.660000,0.430000,"NaN",2.830000
2022,-2.910000,1.960000,0.030000,"NaN",0.630000,0.080000,"NaN",-1.270000
2023,-0.870000,-0.330000,-0.440000,"NaN",1.400000,0.130000,"NaN",-0.060000
2024,1.230000,0.600000,2.490000,"NaN",0.690000,0.040000,"NaN",0.030000
