"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-2.269738,-0.628010,-0.294073,-2.334591,
1991,-3.404662,-0.945019,-0.441109,-3.501905,
1992,-4.539549,-1.256349,-0.588182,-4.669218,
1993,-5.674437,-1.575154,-0.735365,-5.836386,
1994,-3.057242,-0.904275,-0.384610,-3.490180,
1995,-0.439680,-0.233397,-0.033995,-1.143828,
1996,,0.437115,0.316606,1.202488,
1997,,1.107994,0.667251,3.548840,
1998,,1.778872,1.017859,5.895010,
1999,,1.117813,0.492405,4.877004,
2000,-0.782887,0.456864,-0.033049,3.858815,
2001,-4.880400,-0.204096,-0.558467,2.840604,
2002,-8.977907,-0.865034,-1.083958,1.822411,
2003,-13.075350,-1.526056,-1.609229,0.804248,
2004,-10.749187,-1.302992,-1.318893,-1.734757,
2005,-8.422986,-1.080001,-1.028375,-4.273752,
2006,-6.096749,-0.857046,-0.737893,-6.812735,
2007,-3.770549,-0.634055,-0.447411,-9.351737,
2008,-1.444349,-0.411101,-0.156819,-11.890779,
2009,-2.650428,-0.906840,-0.304515,-12.210390,
2010,-3.856543,-1.402652,-0.452101,-12.530074,
2011,-5.062659,-1.898428,-0.599724,-12.849769,
2012,-6.268738,-2.394204,-0.747309,-13.169442,
2013,-7.474926,-2.890163,-0.895115,-13.489016,
2014,-6.692919,-2.459680,-0.808352,-12.225192,
2015,-5.911131,-2.029380,-0.721735,-10.961226,
2016,-5.127035,-1.599080,-0.635154,-9.697252,
2017,-4.347153,-1.168779,-0.548537,-8.433319,
2018,-3.565219,-0.738479,-0.461994,-7.169349,
2019,-5.936449,-1.039074,-0.767498,-7.824802,
2020,-8.307677,-1.339742,-1.073039,-8.480291,
2021,-10.678911,-1.640373,-1.378617,-9.135744,
2022,-9.935119,-1.794224,-0.645817,-3.639744,
