"Year","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
1990,264.806803,281.661438,268.290301,268.730175,267.297952,272.705459,274.697241,274.870920,266.516854,266.608120,281.213953,281.461062,278.781769,268.173094,267.405356
1991,256.659042,252.048610,239.531593,239.531593,257.156080,262.778235,264.603831,264.918377,257.097203,257.242613,271.741011,271.694827,269.489798,261.065933,260.420507
1992,251.863141,235.124889,229.591232,229.591232,234.200841,238.639063,240.144426,240.709726,232.939189,233.049606,246.741371,247.262845,245.215827,236.131075,233.523398
1993,217.017692,207.738275,202.897529,202.897529,204.309002,208.520102,209.634603,210.286525,205.244532,204.856464,219.390009,219.593222,217.963803,208.216788,207.558709
1994,187.906868,166.818805,169.802372,169.802368,170.049815,174.535807,175.142329,175.620979,171.065999,170.560857,185.835328,185.657718,184.332707,174.933435,174.671112
1995,172.223286,165.743853,161.474974,161.474974,163.324526,166.995758,167.536462,168.286928,162.683135,162.799701,178.207463,178.381106,177.082247,168.285926,168.467985
1996,148.460916,149.634055,145.483408,145.483408,150.127427,153.761966,153.933574,154.710130,149.002666,149.061724,163.543771,163.940711,162.760497,154.505018,154.715703
1997,132.692533,140.470360,135.876823,135.876823,142.213112,144.575786,145.120791,146.212280,140.769297,140.012843,155.572205,155.571482,154.166198,146.425374,147.293126
1998,109.824207,143.622931,139.196479,139.196479,148.430288,139.500240,140.138568,141.127340,135.093762,135.083021,150.541203,150.160515,148.818172,144.282671,145.621867
1999,110.008077,122.667742,109.908308,109.807998,109.582529,113.552134,114.473262,115.887179,107.323002,108.095753,124.952449,124.985766,123.721703,119.265287,118.761628
2000,131.932897,151.649850,139.850801,133.106473,132.985855,137.371259,138.207819,139.787408,133.538744,133.407162,148.756158,149.054077,147.473712,143.380198,142.196983
2001,135.212356,138.646763,126.681515,126.580277,126.493487,130.793772,130.964020,132.602694,128.218685,127.627878,142.923904,143.585019,142.295087,138.768536,138.036495
2002,151.121962,156.280510,144.724407,144.577352,144.254614,148.705235,148.641460,150.386690,146.782201,146.016189,160.804182,161.037004,159.971295,157.524848,156.768224
2003,156.384971,172.190290,159.910176,159.833900,160.146563,164.771831,164.805374,166.606383,164.319000,163.628453,178.774595,178.962184,177.823927,175.854719,175.021966
2004,165.055756,193.180594,165.642889,165.557536,167.713702,173.114727,172.768480,174.640245,171.060079,170.163935,188.475902,188.546939,187.304225,186.355686,185.475844
2005,175.170684,207.262314,180.845438,180.740702,180.645502,185.769948,185.307347,186.728307,184.318979,183.774191,202.326202,201.799685,200.437930,200.041970,198.448554
2006,187.125648,239.404702,202.546495,202.286784,201.615690,206.907159,206.867631,208.947376,202.969922,206.515627,221.649319,221.130080,220.048086,220.574705,219.633149
2007,195.675241,241.336241,206.312707,200.269734,205.806402,212.309473,212.894228,215.626054,213.216398,213.013851,227.961079,227.549584,226.128841,226.744683,225.712399
2008,200.437453,211.863587,178.192367,186.513218,186.403261,212.411639,212.118899,214.143241,213.380401,213.166794,229.096301,228.670094,227.121447,226.830973,226.102394
2009,,230.526710,197.483475,206.792559,206.730622,207.990089,207.642259,210.232491,209.346693,208.337255,224.145629,223.110062,221.057174,224.549713,223.189226
2010,,,195.807974,226.640275,226.083230,232.911033,232.707023,236.888710,236.962075,236.261538,250.896958,249.066913,246.982754,248.803234,248.092769
2011,,,,214.717457,217.520488,223.634247,223.764503,226.582776,227.079620,226.771576,240.651228,239.660091,237.033962,238.987657,238.156971
2012,,,,,222.256610,229.442704,226.759932,233.063894,233.860799,233.695491,246.750442,245.836489,243.921902,246.345331,245.262902
2013,,,,,,234.877032,234.031460,237.231941,239.836712,240.136127,254.547447,253.728845,251.452709,255.164925,253.532733
2014,,,,,,,243.844474,245.073612,256.856663,256.671768,278.775585,279.032098,297.643502,274.289680,299.137339
2015,,,,,,,,230.375666,263.483866,263.589539,288.578116,288.582401,301.273154,278.661278,303.052270
2016,,,,,,,,,278.361928,267.692884,288.421372,288.685797,304.839535,277.695737,301.738821
2017,,,,,,,,,,283.291052,307.926537,307.908886,320.791449,293.476476,317.720427
2018,,,,,,,,,,,319.647412,317.279662,331.820700,307.174088,329.572125
2019,,,,,,,,,,,,295.868526,297.569458,275.289762,296.039622
2020,,,,,,,,,,,,,278.404593,255.486480,281.789179
2021,,,,,,,,,,,,,,255.142934,244.903723
2022,,,,,,,,,,,,,,,274.345569
