"Year","Kazakhstan","World"
1950,6.784804,2.372741
1951,7.106991,2.509281
1952,7.359496,2.496828
1953,7.535499,2.519009
1954,7.968616,2.522133
1955,8.746249,2.710743
1956,9.275788,2.829705
1957,9.811984,2.864250
1958,10.121750,2.886446
1959,10.284488,2.981084
1960,10.347956,3.109071
1961,10.317868,3.068418
1962,10.480649,3.117449
1963,10.888768,3.212604
1964,11.235184,3.313059
1965,11.583016,3.389338
1966,11.905010,3.482441
1967,12.127835,3.521091
1968,12.161949,3.638560
1969,12.384760,3.800910
1970,12.793216,4.031813
1971,13.370119,4.112250
1972,13.871331,4.219880
1973,14.246378,4.358162
1974,14.570249,4.257539
1975,15.088190,4.190445
1976,15.435079,4.342568
1977,15.713229,4.387958
1978,15.993743,4.445411
1979,15.875224,4.491730
1980,16.241564,4.385349
1981,15.662776,4.204303
1982,15.693806,4.095304
1983,15.633133,4.047822
1984,15.486624,4.114002
1985,16.418606,4.177916
1986,16.414601,4.164586
1987,15.966340,4.215461
1988,16.656013,4.303169
1989,15.836016,4.285587
1990,15.899688,4.275440
1991,15.362430,4.288762
1992,13.854679,4.101485
1993,12.262692,4.079975
1994,10.445564,4.061836
1995,10.239906,4.097368
1996,9.570283,4.164388
1997,9.255460,4.131378
1998,9.324047,4.059213
1999,7.817468,4.096031
2000,9.410463,4.148800
2001,9.080947,4.125716
2002,10.269589,4.162733
2003,11.406759,4.327484
2004,12.005966,4.421495
2005,12.777133,4.515645
2006,13.940354,4.611727
2007,14.166110,4.688505
2008,14.004923,4.708763
2009,13.690078,4.572416
2010,14.963055,4.774950
2011,14.170699,4.878259
2012,14.403747,4.887112
2013,14.710531,4.868795
2014,15.591464,4.830362
2015,15.623610,4.767311
2016,15.360507,4.713752
2017,16.023994,4.735624
2018,16.569881,4.780249
2019,14.678787,4.778430
2020,13.461363,4.479880
2021,13.291142,4.676995
2022,13.115487,4.676281
2023,13.014038,4.697341
