"Year","Iraq","World"
1950,0.291603,2.378734
1951,0.420658,2.515504
1952,0.331443,2.502896
1953,0.416778,2.524970
1954,0.490017,2.527923
1955,0.643820,2.716614
1956,0.982767,2.835461
1957,0.899977,2.869636
1958,0.988742,2.891376
1959,1.064618,2.985590
1960,1.175747,3.112931
1961,1.210529,3.071906
1962,1.216751,3.120741
1963,1.223716,3.215595
1964,1.143060,3.315825
1965,2.352202,3.391959
1966,3.261726,3.484865
1967,2.092864,3.523155
1968,2.167930,3.640223
1969,2.403535,3.802135
1970,2.453239,4.032588
1971,2.860925,4.112597
1972,2.830299,4.219747
1973,2.835595,4.355556
1974,2.767743,4.253289
1975,2.869135,4.173319
1976,4.086880,4.310191
1977,3.540333,4.352449
1978,3.312912,4.432504
1979,4.017224,4.465701
1980,3.345572,4.364099
1981,2.287659,4.168842
1982,2.119796,4.060496
1983,2.604487,4.023942
1984,2.617186,4.068703
1985,2.839290,4.137420
1986,2.961045,4.122175
1987,3.188879,4.179654
1988,4.003739,4.262697
1989,4.202454,4.241189
1990,2.825933,4.266701
1991,2.561188,4.282473
1992,3.224987,4.090168
1993,3.294748,4.068620
1994,3.802053,4.047994
1995,3.833756,4.083544
1996,3.479924,4.148108
1997,3.440400,4.114970
1998,3.538827,4.044522
1999,3.486817,4.079117
2000,3.427836,4.133621
2001,3.841679,4.107635
2002,3.733308,4.144280
2003,3.784115,4.307030
2004,4.098061,4.399256
2005,4.022954,4.493561
2006,3.453884,4.585831
2007,2.161252,4.661509
2008,3.256197,4.682571
2009,3.500257,4.545518
2010,3.671512,4.744937
2011,3.840800,4.848876
2012,3.982772,4.854014
2013,4.016338,4.837742
2014,3.762311,4.804597
2015,3.794674,4.739116
2016,3.980598,4.682487
2017,4.257337,4.705259
2018,4.623210,4.752195
2019,4.655681,4.747814
2020,4.086228,4.457744
2021,4.483625,4.634748
2022,4.938534,4.678452
2023,5.056339,4.707772
2024,5.074398,4.729075
