"Year","Iraq","World"
1950,3.245183,2.378734
1951,4.146321,2.515504
1952,8.727929,2.502896
1953,12.950790,2.524970
1954,13.720760,2.527923
1955,14.646609,2.716614
1956,13.580892,2.835461
1957,9.316530,2.869636
1958,14.863570,2.891376
1959,17.100882,2.985590
1960,18.996380,3.112931
1961,19.135363,3.071906
1962,18.642322,3.120741
1963,20.770012,3.215595
1964,21.835209,3.315825
1965,22.328076,3.391959
1966,22.885654,3.484865
1967,19.510546,3.523155
1968,23.120901,3.640223
1969,22.598151,3.802135
1970,22.230269,4.032588
1971,23.499146,4.112597
1972,19.727009,4.219747
1973,26.098316,4.355556
1974,24.680671,4.253289
1975,27.472521,4.173319
1976,28.516049,4.310191
1977,26.680351,4.352449
1978,28.141739,4.432504
1979,36.967464,4.465701
1980,27.345315,4.364099
1981,9.034900,4.168842
1982,9.574276,4.060496
1983,10.377950,4.023942
1984,11.211926,4.068703
1985,12.647324,4.137420
1986,16.514440,4.122175
1987,20.422020,4.179654
1988,23.398939,4.262697
1989,23.244831,4.241189
1990,17.299424,4.266701
1991,2.395003,4.282473
1992,4.258283,4.090168
1993,3.526340,4.068620
1994,3.764402,4.047994
1995,3.806980,4.083544
1996,4.026380,4.148108
1997,7.518115,4.114970
1998,13.068550,4.044522
1999,15.541968,4.079117
2000,15.098841,4.133621
2001,14.055622,4.107635
2002,11.423178,4.144280
2003,7.049383,4.307030
2004,10.278368,4.399256
2005,9.015027,4.493561
2006,9.745405,4.585831
2007,10.744619,4.661509
2008,12.044267,4.682571
2009,11.673884,4.545518
2010,11.418355,4.744937
2011,12.283708,4.848876
2012,13.039635,4.854014
2013,12.528800,4.837742
2014,12.648839,4.804597
2015,15.057124,4.739116
2016,16.444931,4.682487
2017,16.435664,4.705259
2018,16.403163,4.752195
2019,16.546046,4.747814
2020,13.843963,4.457744
2021,13.554661,4.634748
2022,14.564738,4.678452
2023,13.773048,4.707772
2024,13.706403,4.729075
