"Year","Total"
1959,6.604647
1960,7.483918
1961,7.978350
1962,9.337664
1963,9.110377
1964,11.787840
1965,13.149927
1966,19.181137
1967,22.962178
1968,23.600903
1969,27.055639
1970,28.172980
1971,24.503595
1972,23.034844
1973,25.067894
1974,19.058019
1975,21.771390
1976,13.898657
1977,15.246793
1978,15.387687
1979,16.249707
1980,16.789037
1981,17.695406
1982,18.341627
1983,19.269692
1984,17.495162
1985,21.097419
1986,20.584666
1987,23.296900
1988,23.072536
1989,17.397909
1990,21.298647
1991,21.375535
1992,21.466459
1993,22.853002
1994,27.362152
1995,30.088820
1996,35.481512
1997,45.502071
1998,47.866351
1999,48.548324
2000,53.935465
2001,60.983832
2002,69.527791
2003,77.261568
2004,88.939183
2005,95.845717
2006,99.652256
2007,101.429535
2008,114.302698
2009,124.493393
2010,139.563841
2011,152.560265
2012,144.277151
2013,151.437988
2014,181.842881
2015,215.461954
2016,223.203933
2017,229.642497
2018,257.722292
2019,341.788778
2020,363.342657
2021,352.553040
2022,343.606614
