"Year","Coal","Oil","Gas","Cement","Flaring"
2000,4.408803,16.472750,9.488968,0.530782,0.592752
2001,5.411679,16.589428,10.443922,0.534743,0.612244
2002,5.420526,17.322351,9.860390,0.550921,0.586307
2003,7.739602,18.101841,8.522430,0.534082,0.610739
2004,8.013108,18.484269,7.255083,0.487544,0.862701
2005,8.918768,18.664122,7.565797,0.576644,0.908589
2006,8.795561,18.794948,7.551604,0.544754,0.958246
2007,6.725796,19.000673,8.259367,0.687302,1.020507
2008,8.284470,18.859660,7.811121,0.639092,1.241305
2009,6.316473,18.133382,7.457545,0.586049,1.365980
2010,5.458101,18.210303,8.382277,0.557421,1.505118
2011,5.534238,18.407234,7.625945,0.528527,1.459151
2012,6.852585,18.153912,8.342925,0.568627,1.278077
2013,6.013030,18.540749,8.372881,0.586336,1.091768
2014,5.442055,18.850888,8.601687,0.619461,1.223191
2015,5.469636,19.370573,8.305040,0.620712,1.346918
2016,4.465043,19.489268,7.895136,0.486377,1.151311
2017,4.669294,20.361616,8.517796,0.443775,1.088188
2018,5.249307,20.533969,7.898728,0.417966,0.991416
2019,5.744626,20.911828,8.240140,0.410940,0.911956
2020,5.538210,19.124119,7.846911,0.379157,0.778756
2021,6.174729,19.855396,6.695802,0.369630,0.705208
2022,4.410521,19.855396,6.353823,0.369630,0.705208
