"Year","Total"
1959,10.991355
1960,11.873904
1961,12.528452
1962,14.164804
1963,15.108601
1964,16.907179
1965,17.844806
1966,19.461588
1967,21.969915
1968,24.140614
1969,26.290996
1970,28.734026
1971,31.474938
1972,35.871514
1973,40.244865
1974,39.309715
1975,43.454062
1976,56.100035
1977,61.129991
1978,71.027627
1979,75.765808
1980,83.514630
1981,75.051899
1982,75.384833
1983,83.138061
1984,84.864935
1985,84.733965
1986,94.333396
1987,98.206198
1988,113.093379
1989,123.126425
1990,124.184000
1991,133.604000
1992,142.188000
1993,153.808000
1994,161.174000
1995,168.887000
1996,176.794000
1997,190.557000
1998,200.172000
1999,207.808000
2000,226.900000
2001,229.777000
2002,237.326000
2003,248.248000
2004,257.883000
2005,266.460000
2006,276.159000
2007,279.800000
2008,266.594000
2009,252.505000
2010,270.148000
2011,276.283000
2012,272.739000
2013,273.873000
2014,276.371000
2015,275.868000
2016,279.731000
2017,285.247000
2018,283.416000
2019,273.954000
2020,271.788784
2021,291.201413
2022,277.900937
