"Year","Total"
1959,261.890109
1960,296.114128
1961,315.681673
1962,332.886792
1963,338.007627
1964,368.855754
1965,363.467759
1966,380.366124
1967,404.644305
1968,418.226316
1969,443.373890
1970,460.424587
1971,493.394860
1972,513.963579
1973,538.654676
1974,520.659273
1975,482.165013
1976,523.447370
1977,506.948348
1978,528.755428
1979,532.112982
1980,511.046682
1981,459.302328
1982,440.364118
1983,423.247675
1984,411.961225
1985,405.137755
1986,390.284998
1987,387.705089
1988,385.544871
1989,399.619581
1990,393.430700
1991,417.775007
1992,407.717271
1993,388.397983
1994,381.576322
1995,386.456832
1996,402.893173
1997,395.511895
1998,413.964532
1999,412.369633
2000,406.507504
2001,411.016481
2002,406.431021
2003,412.456701
2004,413.663396
2005,416.151132
2006,406.309785
2007,396.198174
2008,389.427324
2009,370.965652
2010,376.563913
2011,354.089090
2012,356.444547
2013,358.487444
2014,327.009474
2015,331.414415
2016,334.005063
2017,336.895908
2018,322.078548
2019,315.449737
2020,281.539017
2021,306.775752
2022,297.533905
