"Year","Coal","Oil","Gas","Cement","Flaring"
2000,26.699568,263.873952,81.201568,14.567020,5.382886
2001,30.638368,275.576768,82.887008,14.058930,4.569531
2002,34.701435,265.359172,92.170763,14.548140,3.726546
2003,42.458432,273.195168,101.903168,14.649810,3.973161
2004,37.881779,276.735940,105.646892,15.345810,3.189110
2005,46.807600,291.123120,105.515872,16.673750,3.523614
2006,50.288400,284.689136,117.936832,17.817760,4.012092
2007,45.840304,286.649376,117.273648,18.972860,5.011702
2008,40.783984,288.397104,118.567040,18.638230,6.720925
2009,40.813296,272.740832,123.432832,17.862750,5.567641
2010,51.054176,259.678672,124.121664,17.045650,4.697251
2011,56.041308,272.512081,130.706870,17.770720,6.373758
2012,49.222543,290.157986,135.726564,18.411490,8.050264
2013,49.976960,277.694560,142.276784,17.437030,8.099833
2014,48.943712,269.274688,138.502864,18.259330,9.133108
2015,44.114222,258.874271,147.976833,19.159980,9.394480
2016,47.621008,251.592224,151.455104,20.599338,8.522085
2017,48.529680,245.839744,143.251408,20.876858,7.123260
2018,47.313232,228.842448,165.905920,20.863843,7.360420
2019,45.268362,238.026213,157.100085,19.497632,8.429853
2020,33.705136,193.627744,183.463808,20.650326,10.842072
2021,28.087613,217.348057,188.859802,22.258833,12.237033
2022,35.109517,256.892061,187.780603,21.534274,10.655503
