"Year","Total"
1959,58.286969
1960,63.052287
1961,65.239903
1962,63.743714
1963,66.292194
1964,74.200126
1965,75.167897
1966,80.844570
1967,90.005531
1968,93.887231
1969,102.176189
1970,113.950680
1971,126.186804
1972,132.271259
1973,144.058428
1974,154.727323
1975,164.139039
1976,183.739575
1977,192.394235
1978,222.116240
1979,240.258752
1980,267.743832
1981,283.707437
1982,303.905051
1983,277.565869
1984,276.648598
1985,287.370505
1986,293.412194
1987,306.022063
1988,305.665561
1989,323.480321
1990,317.042355
1991,330.133158
1992,332.780138
1993,338.067214
1994,351.843109
1995,331.142707
1996,341.764680
1997,362.680012
1998,381.307642
1999,386.270264
2000,391.724994
2001,407.730605
2002,410.506056
2003,436.179739
2004,438.799530
2005,463.643956
2006,474.744220
2007,473.747890
2008,473.107283
2009,460.417351
2010,456.597413
2011,483.404736
2012,501.568847
2013,495.485167
2014,484.113702
2015,479.519786
2016,479.789759
2017,465.620949
2018,470.285863
2019,468.322146
2020,442.289086
2021,468.791339
2022,511.971958
