"Year","Total"
1959,192.619987
1960,232.499641
1961,282.786898
1962,292.864430
1963,324.835463
1964,358.891094
1965,386.471179
1966,419.245117
1967,489.307430
1968,561.912555
1969,653.215421
1970,767.963110
1971,796.544280
1972,852.170216
1973,914.265202
1974,914.306206
1975,868.510753
1976,907.144545
1977,933.237686
1978,901.590083
1979,953.071343
1980,944.868566
1981,926.835495
1982,897.407791
1983,880.909402
1984,937.069892
1985,912.400813
1986,912.259933
1987,902.530350
1988,985.464274
1989,1021.681739
1990,1157.195595
1991,1168.897276
1992,1178.674762
1993,1171.686695
1994,1226.702225
1995,1239.048067
1996,1251.545717
1997,1244.251039
1998,1204.402538
1999,1241.036489
2000,1263.754800
2001,1249.162127
2002,1278.787150
2003,1287.292543
2004,1282.685854
2005,1290.144646
2006,1267.118388
2007,1302.836789
2008,1232.014218
2009,1163.057193
2010,1214.707538
2011,1264.631164
2012,1305.883603
2013,1315.192022
2014,1264.071906
2015,1223.168717
2016,1202.454571
2017,1186.802263
2018,1141.668881
2019,1104.539821
2020,1039.795897
2021,1062.129235
2022,1053.797879
