"Year","Total"
1959,0.387701
1960,0.827381
1961,0.812665
1962,0.812665
1963,0.860267
1964,0.922496
1965,1.692025
1966,1.717643
1967,0.699141
1968,0.098126
1969,0.490144
1970,1.307067
1971,1.351035
1972,1.453241
1973,1.548683
1974,1.848983
1975,2.578000
1976,1.769696
1977,2.237336
1978,2.619597
1979,2.888139
1980,3.336441
1981,3.279857
1982,3.036573
1983,2.611411
1984,3.284168
1985,2.650504
1986,2.636446
1987,2.424574
1988,2.710809
1989,3.661877
1990,3.138804
1991,3.379206
1992,3.422666
1993,3.538709
1994,3.836950
1995,3.430121
1996,3.664147
1997,3.182368
1998,3.333565
1999,3.603593
2000,3.902052
2001,4.258100
2002,4.436925
2003,4.927512
2004,5.238223
2005,5.538919
2006,4.422390
2007,4.862531
2008,4.740295
2009,5.257668
2010,6.862391
2011,7.818837
2012,7.362129
2013,7.852669
2014,8.724360
2015,9.845416
2016,10.015698
2017,10.760131
2018,11.330392
2019,12.713021
2020,10.820952
2021,11.540229
2022,11.668435
