"Year","Total"
1959,546.606132
1960,584.020018
1961,588.614801
1962,592.931499
1963,603.385663
1964,607.865989
1965,622.111621
1966,618.074666
1967,592.057027
1968,606.488304
1969,628.382547
1970,652.577395
1971,660.388217
1972,648.026312
1973,659.577095
1974,617.183621
1975,603.247048
1976,598.525992
1977,604.361731
1978,604.713507
1979,644.512763
1980,579.035415
1981,560.554477
1982,548.240368
1983,545.485136
1984,529.108173
1985,559.627325
1986,568.553975
1987,571.667598
1988,570.293732
1989,581.576100
1990,601.945078
1991,609.412673
1992,593.845922
1993,579.612537
1994,574.016890
1995,566.158959
1996,586.760676
1997,562.708106
1998,568.543698
1999,561.649574
2000,569.033716
2001,577.970573
2002,560.273200
2003,571.618782
2004,573.429762
2005,570.338370
2006,567.845659
2007,559.566476
2008,544.932405
2009,494.107701
2010,511.904582
2011,469.713315
2012,487.476776
2013,477.611268
2014,438.807081
2015,422.460794
2016,399.430131
2017,387.367141
2018,379.729755
2019,364.753306
2020,326.263199
2021,347.465051
2022,318.654366
