"Year","Coal","Oil","Gas","Cement","Flaring"
2000,0,198.371419,88.182581,8.695912,7.078257
2001,0,205.004464,81.252864,9.887379,6.558074
2002,0,219.462608,94.937904,11.161823,6.417477
2003,0,216.839184,97.902080,11.545018,7.704408
2004,0,263.193660,119.243769,11.722442,6.853309
2005,0,256.688848,127.254384,11.526808,7.377680
2006,0,283.765808,135.000080,12.390512,7.960536
2007,0,258.465888,113.477744,14.178795,7.980377
2008,0,288.814800,125.151248,18.370362,8.007231
2009,0,326.066688,119.592960,20.184661,7.370579
2010,0,359.647248,137.077568,20.991131,6.888177
2011,0,335.710336,139.616720,22.331954,5.267098
2012,0,386.218576,151.587008,25.373909,3.646019
2013,0,359.383440,153.199168,28.222624,3.758332
2014,0,355.281929,224.051304,29.854065,3.654616
2015,0,415.112880,230.018592,29.669752,4.048100
2016,0.370064,422.422560,241.864304,28.879455,3.883928
2017,0.549600,404.329728,247.624112,23.998174,4.352303
2018,0.479984,399.724080,257.220128,25.134882,4.337221
2019,0.512960,422.125776,255.934064,24.603584,3.948856
2020,0.432355,319.429534,261.061646,25.592905,4.256532
2021,0.432352,334.058119,264.267125,28.688192,3.991556
2022,0.432352,350.887168,277.737052,29.996755,3.496024
