"Year","Total"
1959,2.208112
1960,2.424144
1961,2.398585
1962,2.622025
1963,2.852859
1964,2.823250
1965,2.463914
1966,2.680084
1967,2.698436
1968,2.815420
1969,3.126468
1970,3.078215
1971,3.679252
1972,3.866229
1973,3.914027
1974,4.943558
1975,4.969218
1976,4.602715
1977,5.049444
1978,5.317180
1979,5.032252
1980,6.189277
1981,6.519199
1982,4.687430
1983,4.654725
1984,4.314382
1985,3.765424
1986,4.157065
1987,5.168547
1988,4.784129
1989,5.187409
1990,5.819044
1991,4.834337
1992,5.536456
1993,6.341798
1994,6.553312
1995,7.548754
1996,9.292462
1997,8.210108
1998,9.959645
1999,10.070618
2000,10.408840
2001,9.277873
2002,7.890697
2003,6.697443
2004,7.589762
2005,8.554943
2006,9.565541
2007,9.823632
2008,10.232778
2009,12.342527
2010,12.163160
2011,13.447592
2012,12.505727
2013,13.457976
2014,14.531541
2015,16.998498
2016,18.134511
2017,17.709413
2018,18.837988
2019,19.799187
2020,21.982360
2021,24.457571
2022,24.851921
