"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,0.940397,1.338615,0.502090,"NaN",0.328707,0.003034
2001,0.772590,1.245616,0.552451,"NaN",0.253930,0.003684
2002,0.806922,1.331741,0.599020,"NaN",0.353943,0.003053
2003,0.871524,1.312489,0.721733,"NaN",0.368856,0.002437
2004,0.924697,1.341976,0.762063,"NaN",0.478070,0.002400
2005,0.927669,1.324867,0.926037,"NaN",0.407801,0.001933
2006,1.095602,1.377389,1.051094,"NaN",0.453214,0.003700
2007,1.233599,1.402331,1.220066,"NaN",0.364941,0.006746
2008,1.239125,1.383201,1.270737,"NaN",0.336564,0.012413
2009,1.293638,1.407803,1.213999,"NaN",0.361517,0.022408
2010,1.316246,1.372350,1.289557,"NaN",0.517545,0.039657
2011,1.418438,1.342877,1.506236,"NaN",0.519782,0.058157
2012,1.527973,1.410923,1.559492,"NaN",0.571184,0.076241
2013,1.321530,1.508742,1.582793,"NaN",0.583005,0.112805
2014,1.512523,1.551943,1.679275,"NaN",0.396398,0.123594
2015,1.454494,1.859051,1.654526,"NaN",0.650959,0.165242
2016,1.610137,1.977982,1.602166,"NaN",0.647927,0.235636
2017,1.652083,2.074144,1.856451,"NaN",0.557771,0.294196
2018,1.710793,2.001439,1.700371,"NaN",0.570891,0.379851
2019,1.755095,2.009753,1.561008,"NaN",0.842884,0.434914
2020,1.700520,1.890643,1.663557,"NaN",0.738354,0.499342
2021,1.736359,2.018326,2.063173,"NaN",0.526833,0.618919
2022,1.745437,2.101347,1.843984,"NaN",0.630679,0.690781
