"Year","Total"
1959,94.472870
1960,97.843513
1961,102.119846
1962,105.669994
1963,109.725151
1964,119.546018
1965,128.140038
1966,128.234886
1967,133.760109
1968,137.953754
1969,143.142849
1970,149.618186
1971,168.403484
1972,171.553582
1973,173.352218
1974,176.544277
1975,185.001220
1976,192.905036
1977,199.734588
1978,201.875880
1979,218.667166
1980,228.197788
1981,257.075242
1982,280.433321
1983,291.902070
1984,315.592991
1985,323.861336
1986,330.497105
1987,328.664711
1988,342.654686
1989,340.711043
1990,312.930226
1991,326.026708
1992,301.325411
1993,320.345312
1994,338.697562
1995,361.693611
1996,363.732331
1997,385.222743
1998,377.262459
1999,374.891007
2000,378.306871
2001,371.623973
2002,356.523118
2003,404.409657
2004,449.306966
2005,416.201202
2006,446.770029
2007,465.044619
2008,495.170841
2009,480.572472
2010,462.999672
2011,465.907824
2012,458.954230
2013,458.628224
2014,471.865990
2015,446.221043
2016,456.972860
2017,439.380134
2018,435.237186
2019,465.429264
2020,434.828632
2021,425.627731
2022,404.053994
