"Year","Coal","Oil","Gas","Cement","Flaring"
2000,2.601737,0.648686,0.059796,0.244388,0.004737
2001,2.637655,0.659300,0.067157,0.270828,0.004783
2002,3.018634,0.653086,0.053993,0.282688,0.004486
2003,3.601712,0.727099,0.060745,0.353679,0.005180
2004,3.835288,0.839093,0.071521,0.368396,0.005192
2005,4.424390,0.850173,0.084957,0.411649,0.005588
2006,4.905374,0.898534,0.103753,0.470087,0.005534
2007,5.289904,0.927351,0.129515,0.514981,0.004965
2008,5.729474,0.970117,0.149674,0.525924,0.004666
2009,6.028500,0.982348,0.164404,0.583560,0.004557
2010,6.568794,1.092572,0.199585,0.639592,0.003974
2011,7.309786,1.123859,0.245990,0.708564,0.003853
2012,7.464806,1.176712,0.277599,0.714782,0.003733
2013,7.493454,1.234622,0.320127,0.748323,0.003632
2014,7.425067,1.255605,0.370222,0.778627,0.003930
2015,7.266979,1.328805,0.380052,0.721995,0.003901
2016,7.071404,1.357838,0.421726,0.743044,0.003090
2017,7.163318,1.430587,0.486359,0.758185,0.002969
2018,7.316400,1.500474,0.575369,0.786745,0.003408
2019,7.523170,1.559728,0.630171,0.826876,0.003839
2020,7.679546,1.523052,0.676473,0.858233,0.005170
2021,7.979436,1.564370,0.764102,0.851974,0.004812
2022,8.250737,1.451287,0.755172,0.763365,0.004678
2023,8.523011,1.594964,0.804258,0.756494,0.004678
