"Year","Total"
1959,1.840007
1960,2.211905
1961,2.290410
1962,2.516756
1963,2.893242
1964,2.974612
1965,3.121306
1966,3.176314
1967,3.371142
1968,3.865666
1969,3.749327
1970,3.803195
1971,3.605832
1972,3.505921
1973,4.549694
1974,4.653084
1975,4.856723
1976,5.555798
1977,5.784754
1978,5.984423
1979,6.612648
1980,7.597219
1981,7.886136
1982,8.552288
1983,8.188282
1984,9.077160
1985,10.189161
1986,11.405807
1987,11.799727
1988,13.478441
1989,13.382363
1990,14.081596
1991,14.741983
1992,15.379904
1993,16.062897
1994,17.538015
1995,21.041714
1996,21.492816
1997,23.125868
1998,23.197800
1999,25.074988
2000,26.524611
2001,31.034909
2002,31.981243
2003,33.459295
2004,35.945411
2005,37.676581
2006,41.689168
2007,42.642128
2008,45.300872
2009,49.148072
2010,53.991553
2011,56.556344
2012,60.707799
2013,61.798986
2014,66.008998
2015,73.157554
2016,76.203278
2017,80.741776
2018,82.555691
2019,100.791877
2020,93.614961
2021,98.760302
2022,102.103347
