"Year","Total"
1959,94.084603
1960,109.203087
1961,124.374897
1962,146.254985
1963,164.556239
1964,175.721076
1965,189.528379
1966,213.982260
1967,234.129742
1968,249.172160
1969,269.660969
1970,296.364546
1971,311.049181
1972,328.237476
1973,353.349131
1974,358.252934
1975,341.052459
1976,365.795463
1977,354.417634
1978,371.273837
1979,385.255527
1980,386.433006
1981,375.300134
1982,366.879032
1983,358.409081
1984,364.601058
1985,368.982391
1986,363.187621
1987,380.098578
1988,385.962261
1989,404.741934
1990,438.904296
1991,438.385654
1992,438.770955
1993,431.176400
1994,425.428213
1995,449.430216
1996,443.656710
1997,449.430941
1998,461.646721
1999,466.393429
2000,470.524119
2001,470.577433
2002,478.001997
2003,496.005837
2004,501.631595
2005,502.346598
2006,496.934395
2007,490.653341
2008,479.077162
2009,424.952656
2010,436.534301
2011,424.739246
2012,404.260613
2013,370.253537
2014,350.126682
2015,361.935924
2016,358.814016
2017,353.418594
2018,349.826898
2019,340.402522
2020,303.281272
2021,337.229884
2022,338.097301
