"Year","BLUE","H&C2023","OSCAR"
1850,30.249764,3.906996,8.496816
1851,28.410509,3.308152,8.735929
1852,27.380376,2.845133,8.763592
1853,26.644425,2.464003,8.689616
1854,26.083466,2.138420,8.584679
1855,25.626932,1.860799,8.456146
1856,25.194360,1.578708,8.266167
1857,24.793555,1.311639,8.049771
1858,24.495709,1.143718,7.892512
1859,24.208561,0.969714,7.710302
1860,22.989805,0.777281,7.397543
1861,22.325631,0.634495,7.091342
1862,21.843889,0.521864,6.872418
1863,21.385852,0.361307,6.606888
1864,20.958776,0.188952,6.324687
1865,20.628943,0.085298,6.106825
1866,20.273608,-0.065476,5.840416
1867,20.117082,-0.034148,5.756181
1868,19.770761,-0.203169,5.468190
1869,19.564331,-0.248676,5.308843
1870,18.222721,-0.303049,5.099335
1871,17.590168,-0.328771,4.922950
1872,17.159794,-0.370504,4.777123
1873,16.813876,-0.431656,4.623821
1874,16.533250,-0.487825,4.482428
1875,16.300403,-0.535274,4.356276
1876,16.067629,-0.609030,4.211072
1877,15.831265,-0.707152,4.049380
1878,15.691080,-0.723347,3.976503
1879,15.540636,-0.760976,3.888493
1880,14.190416,-0.820296,3.734129
1881,13.519134,-0.844039,3.616038
1882,13.089713,-0.849755,3.558770
1883,12.721078,-0.901271,3.461967
1884,12.396594,-0.968908,3.349702
1885,12.166275,-0.981329,3.294046
1886,11.904080,-1.050469,3.186947
1887,11.824827,-0.954655,3.254988
1888,11.571828,-1.024821,3.149098
1889,11.433549,-0.962166,3.163901
1890,17.269275,-0.884819,3.343583
1891,19.795273,-0.754491,3.558037
1892,21.252226,-0.643069,3.611458
1893,22.219046,-0.545350,3.623293
1894,22.935907,-0.433048,3.635531
1895,23.494631,-0.314994,3.641027
1896,23.909835,-0.198552,3.608197
1897,24.233220,-0.016891,3.572473
1898,24.567157,0.295465,3.628093
1899,24.834226,0.597855,3.682173
1900,23.864695,0.839569,3.822395
1901,23.591324,1.097624,4.315166
1902,23.571538,1.515101,4.325938
1903,23.544937,1.898978,4.342280
1904,23.472317,2.162493,4.054546
1905,23.462827,2.339830,4.799840
1906,23.447988,2.316894,4.630050
1907,23.404203,1.918580,4.750523
1908,23.338801,1.473771,4.320003
1909,23.353457,0.987595,4.729052
1910,28.110611,0.617054,4.721394
1911,30.243059,0.379407,4.573148
1912,31.567815,0.194522,4.590845
1913,32.512028,0.026784,4.330005
1914,33.187303,-0.180049,4.469237
1915,33.709020,-0.388750,4.408708
1916,34.175557,-0.554473,4.059529
1917,34.521585,-0.787430,4.350560
1918,34.986217,-0.866829,3.833973
1919,35.203712,-1.171417,3.861123
1920,37.775693,-1.379679,3.212742
