"Year","Coal","Oil","Gas","Cement","Flaring"
2000,185.796849,102.650116,46.609504,3.620856,7.952858
2001,190.082209,103.173960,49.326198,3.540903,8.172284
2002,191.146650,105.452246,50.589115,3.487738,8.007496
2003,195.386038,109.672980,49.716830,3.584016,7.157978
2004,202.225430,113.758709,52.533590,3.554645,6.857940
2005,200.715376,116.499377,54.492208,3.664127,6.914461
2006,204.400539,117.391847,55.826404,3.888062,7.046394
2007,203.558727,119.464417,61.064321,3.971547,7.504144
2008,204.687574,122.288026,61.803308,3.862908,7.482726
2009,206.066484,122.364163,63.482206,3.829017,7.966099
2010,200.552341,124.550508,64.632376,3.548615,8.189779
2011,192.140642,129.801305,66.867913,3.495532,7.874195
2012,189.154385,133.681125,68.090502,3.518237,8.286997
2013,176.363095,137.311405,69.870379,3.294420,8.846405
2014,168.146441,137.683972,70.771537,3.137567,9.272708
2015,174.204762,137.710955,71.500654,3.076156,10.827854
2016,179.561639,137.439788,73.935858,2.930855,12.439911
2017,176.932470,139.481265,75.430864,3.019062,14.861430
2018,169.393883,143.690875,78.468453,2.941785,16.925628
2019,164.947434,143.064401,80.661263,3.039547,20.199247
2020,156.681277,135.379692,83.479524,2.820162,14.551687
2021,151.542780,134.686836,80.159340,2.900471,13.280175
2022,144.105097,144.456866,83.499313,2.900471,13.280175
