"Year","Total"
1959,83.071795
1960,87.444270
1961,87.009520
1962,90.908605
1963,95.995808
1964,103.544751
1965,113.604893
1966,115.736222
1967,122.280589
1968,128.768066
1969,136.413540
1970,147.861019
1971,151.116057
1972,153.598249
1973,170.143821
1974,166.182746
1975,173.101513
1976,169.803061
1977,181.914654
1978,191.051593
1979,192.321925
1980,204.370205
1981,213.809927
1982,218.000906
1983,207.645381
1984,217.516243
1985,224.555886
1986,224.040279
1987,234.599844
1988,240.737044
1989,256.836631
1990,278.160268
1991,279.534032
1992,284.528773
1993,288.873507
1994,293.700920
1995,305.055586
1996,311.940494
1997,320.332758
1998,334.135545
1999,343.959206
2000,350.007696
2001,357.783390
2002,362.536534
2003,369.441741
2004,382.873454
2005,386.205375
2006,392.436333
2007,399.676260
2008,404.255700
2009,407.477156
2010,405.512170
2011,404.256789
2012,406.579731
2013,399.288011
2014,393.049371
2015,401.378360
2016,410.253593
2017,413.655465
2018,415.350720
2019,415.811270
2020,396.685170
2021,386.606936
2022,392.279255
