"Year","Total"
1959,184.481354
1960,192.716175
1961,194.000694
1962,206.990771
1963,210.910776
1964,237.577733
1965,251.916995
1966,259.074371
1967,281.637036
1968,303.261340
1969,307.119205
1970,341.177214
1971,352.287404
1972,380.791685
1973,381.273198
1974,389.616915
1975,396.786785
1976,398.962262
1977,407.790443
1978,415.528652
1979,441.676761
1980,442.846874
1981,429.629720
1982,414.454925
1983,408.338502
1984,425.233330
1985,421.718695
1986,404.707950
1987,430.982059
1988,455.669111
1989,462.885150
1990,458.503095
1991,450.159602
1992,464.012832
1993,464.554171
1994,479.033003
1995,491.825697
1996,508.196664
1997,522.577290
1998,530.276273
1999,544.482079
2000,567.096101
2001,559.147040
2002,564.373836
2003,581.427172
2004,579.689422
2005,574.763646
2006,568.584509
2007,593.755254
2008,576.808657
2009,544.139661
2010,556.062099
2011,565.254013
2012,565.781728
2013,569.539743
2014,566.353017
2015,570.680331
2016,557.689727
2017,566.651892
2018,577.066285
2019,578.587718
2020,522.845296
2021,537.173737
2022,547.943877
