"Year","BLUE","H&C2023","OSCAR"
1850,14.275970,10.106118,14.329354
1851,14.345806,10.169432,14.426817
1852,14.362880,10.177823,14.455030
1853,14.772259,10.584966,14.873605
1854,14.821576,10.634210,14.930727
1855,14.998474,10.813233,15.114403
1856,14.959013,10.777363,15.080694
1857,15.302659,11.125663,15.428884
1858,15.328857,11.157210,15.458269
1859,15.369454,11.203633,15.501028
1860,15.632676,11.252950,15.514402
1861,16.295750,11.876966,16.110681
1862,16.500348,12.068373,16.310516
1863,16.003070,11.555157,15.813164
1864,15.964488,11.494408,15.770589
1865,16.297289,11.799656,16.095036
1866,16.084704,11.556000,15.870506
1867,16.511413,11.948744,16.281973
1868,16.323999,11.725899,16.077192
1869,16.474626,11.839300,16.207960
1870,17.864675,12.313495,16.690912
1871,18.101699,12.272715,16.744883
1872,18.404492,12.371203,17.010413
1873,18.599563,12.353103,17.173754
1874,19.261758,12.785345,17.790186
1875,19.685463,12.965101,18.152848
1876,20.557348,13.583437,18.951197
1877,20.958813,13.725491,19.269196
1878,20.846694,13.351103,19.066174
1879,21.758627,14.000547,19.881927
1880,22.133711,13.952219,20.011266
1881,22.872007,14.343571,20.609267
1882,23.535521,14.676189,21.153664
1883,23.894263,14.709238,21.393583
1884,23.989344,14.483536,21.368778
1885,25.109319,15.288626,22.368244
1886,25.981680,15.853212,23.120426
1887,26.587083,16.158753,23.606969
1888,26.521498,15.802246,23.424502
1889,26.345626,15.344942,23.134093
1890,29.760217,16.444765,24.739988
1891,31.096038,16.919436,25.947642
1892,31.512232,16.688201,26.271759
1893,32.740002,17.295875,27.388547
1894,33.833376,17.772379,28.349284
1895,34.793417,18.118590,29.160164
1896,36.187020,18.904994,30.393063
1897,36.844195,18.965194,30.882574
1898,37.036665,18.574318,30.904301
1899,38.678943,19.648860,32.374628
1900,39.589080,19.661427,32.792800
1901,41.139136,20.526168,34.114038
1902,41.720942,20.481650,34.448745
1903,41.504326,19.670037,33.733092
1904,43.204166,20.800638,35.324624
1905,44.321686,21.367276,36.226298
1906,45.277220,21.784715,37.511922
1907,45.840597,21.828793,37.620450
1908,47.324957,22.813053,39.189081
1909,47.101673,22.108539,38.431476
1910,48.421152,23.253979,39.799357
1911,48.763480,23.250535,39.251479
1912,49.752540,23.876309,40.727448
1913,50.647106,24.414917,42.065065
1914,50.936891,24.358125,40.565720
1915,50.955065,24.043571,40.947728
1916,53.047868,25.818046,42.430915
1917,53.537342,26.006449,44.244376
1918,54.619321,26.793220,44.901477
1919,53.506308,25.395514,43.291186
1920,56.029815,24.863354,43.643846
1921,58.223818,25.805625,47.177774
1922,60.995964,27.676171,49.738763
1923,60.814376,26.695391,50.125608
1924,65.837097,30.967542,56.192716
1925,65.629934,30.041796,56.171245
1926,66.096581,29.810780,57.652234
1927,65.827534,28.856601,57.196432
1928,66.483280,28.830880,57.846133
1929,69.461782,31.129124,61.631228
1930,68.211003,28.062136,59.274507
1931,68.428901,27.194977,60.881244
1932,70.059600,27.877910,62.123963
1933,71.000332,27.907735,63.289921
1934,72.618611,28.630569,65.756232
1935,70.170400,25.294937,62.674552
1936,70.572048,24.823783,63.709998
1937,71.628379,24.997603,63.734914
1938,72.281340,24.755230,64.691291
1939,75.071843,26.640065,67.643119
1940,76.758125,27.544560,69.543966
1941,75.007576,24.914211,67.597136
1942,76.492229,25.519907,68.936291
1943,78.733498,26.884344,71.124799
1944,77.032632,24.307526,69.728412
1945,74.930485,21.327155,68.098848
1946,76.537992,22.055998,67.327099
1947,74.899598,19.537730,67.319368
1948,76.401325,20.165740,65.709333
1949,73.448141,16.341293,63.815228
1950,78.148320,15.801440,64.497245
1951,69.601197,14.448324,63.222064
1952,73.939410,14.074523,62.552761
1953,76.035291,15.524881,65.737216
1954,67.436580,13.051828,60.830681
1955,72.324502,14.192724,60.706141
1956,71.130368,12.803408,62.361683
1957,72.925655,14.766983,63.978606
1958,70.934710,12.675388,60.464940
1959,83.509119,11.965232,63.347849
1960,71.554586,12.587196,64.990127
1961,68.825455,10.420929,56.958968
1962,63.848095,9.776248,54.378120
1963,61.214704,3.072447,48.022692
1964,56.592495,-0.312612,44.076601
1965,54.521016,-0.885516,44.287977
1966,49.438022,-5.195625,37.266104
1967,50.396451,-3.002721,37.917710
1968,44.115403,-5.449321,32.301641
1969,47.947544,-7.382704,29.592882
1970,40.856421,-8.296615,26.360355
1971,35.284027,-12.507394,18.108697
1972,30.064146,-17.485084,8.945216
1973,29.927515,-15.326256,8.973502
1974,25.184834,-17.510293,5.403447
1975,20.973579,-20.192121,-3.323065
