"Year","Total"
1959,0.010992
1960,0.010992
1961,0.010992
1962,0.018320
1963,0.021984
1964,0.018320
1965,0.021984
1966,0.025648
1967,0.916000
1968,1.242096
1969,20.507408
1970,15.234912
1971,21.166928
1972,23.434944
1973,30.605392
1974,31.301552
1975,31.045072
1976,39.617011
1977,38.751288
1978,44.753590
1979,36.546455
1980,36.823397
1981,36.766936
1982,36.752774
1983,35.220453
1984,46.155642
1985,49.652535
1986,47.030086
1987,47.450353
1988,48.095598
1989,54.186135
1990,51.703774
1991,56.673423
1992,57.757056
1993,65.565563
1994,75.010505
1995,72.463504
1996,75.412154
1997,72.919514
1998,80.106302
1999,77.316161
2000,111.813101
2001,101.417960
2002,84.649074
2003,106.443121
2004,111.702585
2005,114.399416
2006,121.705076
2007,133.124515
2008,153.683520
2009,168.013251
2010,184.842303
2011,197.573128
2012,207.392254
2013,213.335127
2014,209.983037
2015,225.683649
2016,226.604723
2017,212.490383
2018,209.278516
2019,219.556572
2020,216.768333
2021,237.248976
2022,243.895223
