"Year","BLUE","H&C2023","OSCAR"
1850,18.888653,39.192416,36.858484
1851,19.986057,39.591902,37.095252
1852,18.879529,39.970283,37.574467
1853,19.899221,40.329648,38.084532
1854,17.955542,40.664501,38.210317
1855,18.810426,40.988105,38.380034
1856,19.148467,41.283790,38.730056
1857,18.528665,41.562950,38.974664
1858,18.234372,41.820603,39.283576
1859,19.492883,42.060412,39.645506
1860,19.045875,42.279995,39.851386
1861,17.969465,42.476899,40.030629
1862,18.363638,42.658193,40.293264
1863,18.746343,42.816405,40.549305
1864,18.143981,42.957652,40.624930
1865,18.868684,43.075156,40.756760
1866,18.836954,43.174597,40.998658
1867,17.625965,43.255462,41.163904
1868,19.206138,43.316211,41.416097
1869,18.236607,43.355746,41.520485
1870,26.798533,43.393412,42.920829
1871,35.021428,43.392642,45.247066
1872,41.453910,43.373186,46.969512
1873,40.494858,43.334604,48.000488
1874,42.695749,43.277666,48.803857
1875,46.078940,43.195262,49.712602
1876,43.910439,43.094063,50.235858
1877,45.208484,42.979050,50.810264
1878,46.723914,42.837326,51.622792
1879,44.828893,42.684428,52.128168
1880,53.201940,42.542594,53.313325
1881,57.702760,42.388413,54.951243
1882,58.871760,42.238079,56.107162
1883,57.435288,42.098371,56.915477
1884,62.862149,41.967786,57.832832
1885,61.143037,41.835625,58.482973
1886,63.012739,41.705407,58.938041
1887,62.838223,41.572660,59.618300
1888,60.931111,41.438594,59.991625
1889,63.749313,41.299985,60.542360
1890,65.860253,41.163061,61.275380
1891,68.048064,41.012874,61.719970
1892,68.543144,40.861441,62.287047
1893,68.203894,40.699785,62.841704
1894,65.673719,40.601553,63.096059
1895,74.259351,40.598439,63.745136
1896,68.292527,40.639879,64.042653
1897,71.215080,40.711437,64.118241
1898,69.943635,40.760351,64.451262
1899,68.912622,40.768302,64.607862
1900,72.153540,40.762879,65.041423
1901,71.507430,40.690589,63.770271
1902,73.076978,40.539339,64.054854
1903,72.520636,40.361012,64.887571
1904,73.634748,40.188621,68.084741
1905,74.258508,39.977684,64.997528
1906,72.170797,39.704606,64.451336
1907,73.980520,39.415846,65.282880
1908,73.062248,39.131007,68.355401
1909,70.480960,38.840122,68.563186
1910,67.420421,38.518093,67.109677
1911,64.651317,38.169610,65.515398
1912,58.996336,37.787382,63.511813
1913,57.302102,37.462092,65.624658
1914,54.917424,37.137205,62.995848
1915,58.568454,36.647988,63.435162
1916,58.574976,36.213987,61.578320
1917,57.137698,35.907053,62.395612
1918,54.790064,35.467117,63.797202
1919,52.247614,34.773522,59.521753
1920,34.042114,34.008955,59.752622
1921,23.119034,33.334486,54.862684
1922,17.499557,32.458936,49.856708
1923,13.554638,31.306022,48.369930
1924,10.813233,30.077153,45.236184
1925,8.850685,28.991583,42.798964
1926,7.269486,27.950714,41.665799
1927,5.823268,26.952531,39.367482
1928,4.815668,25.782762,35.468766
1929,3.854601,24.603064,34.787885
1930,3.027453,23.774194,30.809257
1931,2.221227,22.909160,27.116385
1932,1.291780,21.878880,27.928730
1933,0.728147,21.092988,24.906260
1934,0.121205,20.675366,26.141541
1935,-0.390729,20.206594,21.148681
1936,-0.787284,19.601154,20.477180
1937,-0.927505,19.325182,18.345868
1938,-1.258437,19.511863,17.421514
1939,-1.541921,19.682678,17.730902
1940,-1.844971,19.650838,14.315688
1941,-2.052023,19.844444,13.364770
1942,-2.447589,20.477436,12.243806
1943,-2.967071,20.938075,11.029776
1944,-3.159467,21.231927,12.853532
1945,-3.422432,22.197684,12.906990
1946,-3.834229,23.317183,9.887964
1947,-3.838150,24.155396,9.998396
1948,-4.154646,25.505177,10.147741
1949,-8.938511,27.506051,11.043882
1950,20.204102,29.808875,14.912077
1951,35.069646,31.790916,24.447344
1952,47.444989,33.675641,29.538728
1953,60.629637,35.561612,36.697818
1954,74.096266,37.775913,43.267223
1955,85.459209,40.089986,50.224280
1956,95.766408,41.954046,58.015959
1957,105.441823,43.196215,62.006971
1958,114.521361,44.871249,66.924645
1959,135.590937,46.891249,76.193246
1960,83.640216,47.571361,74.764726
1961,65.636200,48.299471,66.844147
1962,56.677976,49.935923,61.415931
1963,51.339748,51.002917,63.642141
1964,47.719826,51.593810,62.666711
1965,44.408889,52.343904,59.568946
1966,47.007032,53.788986,62.310680
1967,46.523237,57.004256,60.864389
1968,44.058281,61.941092,61.743200
1969,47.460085,64.599911,61.114897
1970,40.576235,67.849292,68.186161
1971,43.188337,70.447472,69.955176
1972,46.518400,71.833709,70.124490
1973,46.562881,72.581239,68.654017
1974,41.250045,71.687259,69.070833
1975,86.626010,67.658911,75.913463
1976,77.477149,62.843133,77.081473
1977,62.126161,61.309639,69.707563
1978,52.994484,56.728979,70.402991
1979,48.345014,49.268342,59.013703
1980,47.545933,42.266035,56.816329
1981,45.039647,36.918134,53.989626
1982,45.737859,32.688266,50.693016
1983,43.362671,26.979974,45.730421
1984,36.934219,15.250704,43.005247
1985,37.518994,9.047442,38.890978
1986,39.594576,4.925845,41.538768
1987,42.211075,1.651218,32.230046
1988,41.956244,-1.963354,34.959360
1989,39.779572,-5.014147,34.858636
1990,43.609624,-2.218699,37.926320
1991,99.256551,1.060508,45.219806
1992,74.755273,2.323526,52.429971
1993,66.750569,1.512609,44.970507
1994,55.552652,5.271946,50.209917
1995,150.648255,5.274914,72.912281
1996,125.321404,6.821745,90.122272
1997,127.585646,12.117727,80.932740
1998,167.067445,21.049863,91.464762
1999,187.888235,34.867357,116.827776
2000,269.316384,38.293160,134.191252
