"Year","Total"
1959,12.706859
1960,16.032731
1961,17.065918
1962,18.571110
1963,21.526859
1964,25.491247
1965,27.609457
1966,26.532150
1967,19.649910
1968,22.872626
1969,19.664751
1970,21.654011
1971,23.012404
1972,25.474998
1973,23.761076
1974,26.089140
1975,31.059912
1976,34.450450
1977,37.815065
1978,39.261006
1979,42.889506
1980,45.176028
1981,50.902684
1982,56.431167
1983,56.980476
1984,63.704312
1985,63.807233
1986,74.392898
1987,74.613521
1988,74.309478
1989,71.904562
1990,75.217533
1991,77.295842
1992,79.939884
1993,92.277980
1994,88.372733
1995,98.994499
1996,97.950855
1997,111.704885
1998,125.025715
1999,128.221105
2000,143.836043
2001,127.656532
2002,129.154996
2003,149.919386
2004,152.575693
2005,168.216820
2006,179.194147
2007,188.805041
2008,197.727721
2009,206.477902
2010,203.607575
2011,216.917285
2012,213.733512
2013,211.418911
2014,226.899334
2015,224.479730
2016,239.385584
2017,260.110602
2018,243.907877
2019,256.140175
2020,227.637955
2021,246.884405
2022,258.951662
