"Year","BLUE","H&C2023","OSCAR"
1850,40.702826,24.032396,23.579525
1851,41.904875,22.300020,24.914467
1852,42.392187,20.782135,25.614071
1853,42.315573,19.734084,25.896786
1854,42.226721,18.754917,26.162755
1855,41.751610,17.685652,26.259558
1856,41.171599,16.617559,26.277915
1857,40.869722,15.945398,26.621012
1858,40.106474,14.953150,26.576311
1859,39.984023,14.573890,27.115102
1860,39.065458,13.824199,27.132946
1861,38.225633,12.918641,26.927322
1862,37.606197,12.252196,27.005036
1863,37.132112,11.726192,27.185561
1864,36.363881,10.926891,27.035630
1865,35.995722,10.568222,27.265656
1866,35.364598,10.023935,27.254517
1867,35.255301,10.044380,27.758574
1868,34.146868,9.146040,27.283976
1869,33.930142,9.141863,27.666644
1870,36.731747,9.337008,29.359376
1871,37.153803,9.081884,30.817831
1872,37.478543,9.235405,31.753873
1873,37.153326,8.974858,32.080335
1874,37.030363,8.988598,32.610223
1875,36.793228,8.955842,33.054410
1876,36.097948,8.507808,33.055179
1877,35.784383,8.440171,33.412199
1878,35.087307,8.127815,33.500648
1879,35.010143,8.491027,34.241326
1880,35.576304,8.465672,34.339668
1881,35.244126,8.140492,34.068861
1882,35.137320,8.249313,34.392283
1883,34.908943,8.280567,34.645208
1884,34.381474,7.987007,34.557053
1885,34.265398,8.214028,34.968483
1886,33.922008,8.220074,35.136697
1887,34.073075,8.857244,35.924714
1888,33.092369,8.306728,35.528636
1889,33.024108,8.761980,36.078089
1890,31.433346,8.116749,33.911383
1891,30.819150,8.260232,32.140791
1892,30.738908,8.911691,32.005296
1893,30.320186,9.233170,31.704409
1894,30.189088,9.900971,31.744676
1895,29.901391,10.451707,31.616876
1896,29.122791,10.620507,30.950431
1897,28.864479,11.486127,30.793978
1898,28.527501,12.361970,30.557760
1899,28.783505,13.797818,30.904045
1900,29.153129,14.749652,30.739275
1901,28.961905,15.479484,29.825913
1902,28.734370,16.434835,28.967034
1903,28.855136,17.794363,28.232732
1904,28.745692,18.676104,27.353189
1905,28.868033,19.269855,27.700463
1906,28.971981,19.217020,27.406537
1907,28.311288,17.728557,26.548465
1908,28.211224,16.272813,26.099661
1909,28.089800,14.715540,25.734287
1910,17.287924,13.253421,23.678124
1911,8.798986,12.573859,21.193052
1912,1.022036,11.523133,20.943387
1913,-5.639629,10.697524,19.442063
1914,-11.521301,9.962819,18.314980
1915,-17.172802,8.808146,17.722072
1916,-21.773943,8.125689,16.827506
1917,-26.345919,6.890005,15.257592
1918,-29.794549,6.255511,14.581731
1919,-33.882254,4.529290,14.081668
1920,-17.579616,4.487924,15.952323
1921,-6.098178,3.365970,18.453699
1922,4.133725,2.043669,21.129335
1923,14.023191,1.131883,21.060525
1924,22.098830,-0.461884,21.145787
1925,29.567711,-1.472488,21.253398
1926,35.485400,-2.868582,21.381748
1927,40.745036,-4.136509,21.933547
1928,45.512596,-5.101497,21.532156
1929,48.997903,-6.320913,21.913908
1930,33.673552,-7.969860,18.269217
1931,24.659343,-10.072519,14.529665
1932,18.412406,-10.913480,12.379044
1933,12.190201,-12.385529,12.668903
1934,7.362222,-13.046112,10.621496
1935,1.977607,-14.841142,10.962358
1936,-2.111563,-15.922388,10.239817
1937,-5.961731,-17.305805,9.626757
1938,-9.176048,-18.524891,8.970095
1939,-12.054413,-19.855619,8.962217
1940,-18.319157,-21.619359,10.223842
1941,-23.895802,-23.150434,9.175499
1942,-28.622069,-24.239229,6.894769
1943,-32.981533,-25.290284,4.189015
1944,-37.706957,-27.014306,3.626664
1945,-42.163810,-28.774015,3.359778
1946,-46.084620,-30.274423,1.649899
1947,-49.619280,-31.620833,0.967589
1948,-52.977739,-33.004543,-0.625115
1949,-56.113904,-34.402578,-2.366431
1950,-41.786125,-35.278787,0.463606
1951,-31.141765,-36.386012,1.104073
1952,-21.749321,-37.384964,4.795553
1953,-13.379572,-37.601544,2.684943
1954,-6.816982,-38.656189,4.652217
1955,-1.520853,-40.421358,4.144277
1956,1.988783,-41.840975,4.707324
1957,4.143837,-42.663103,1.758354
1958,3.476770,-44.174100,1.319370
1959,-56.929766,-44.467880,0.306787
1960,-53.836068,-46.005074,1.980648
1961,-54.173119,-47.195581,-2.408970
1962,-54.509072,-48.924549,-1.423794
1963,-53.055123,-49.604551,-2.339244
1964,-55.475342,-50.538761,-2.683587
1965,-52.815681,-52.166676,-1.172114
1966,-53.855890,-53.573359,-2.331183
1967,-51.839188,-55.143090,-3.432508
1968,-53.680275,-56.571867,-3.031997
1969,-51.320146,-57.539529,-3.129716
1970,-49.957504,-58.585784,-1.760002
1971,-50.014846,-59.293669,-4.618948
1972,-48.562363,-60.071280,-3.929970
1973,-47.234932,-60.324279,-4.391597
1974,-44.646096,-60.574274,-3.129312
1975,-42.714802,-60.353261,-5.160194
1976,-41.220623,-60.028521,-2.934058
1977,-39.941667,-59.703708,-3.289283
1978,-39.131960,-59.508709,-2.281316
1979,-37.773532,-59.375193,-3.190501
1980,-38.103328,-59.465584,-1.666973
1981,-36.424337,-58.492829,-2.811314
1982,-34.491540,-57.776737,-4.894041
1983,-26.663441,-57.660405,-3.591783
1984,-28.858873,-57.172946,-1.906379
1985,-28.635919,-56.515624,-0.715579
1986,-26.923109,-55.417157,-1.849734
1987,-26.705320,-54.180264,-0.480167
1988,-25.575123,-54.420586,-2.725173
1989,-24.394362,-53.975556,-4.378260
1990,-23.762359,-53.909055,-4.868540
1991,-22.922314,-51.979922,-4.866781
1992,-21.769766,-51.016803,-4.971901
1993,-20.590288,-50.196910,-3.003527
1994,-16.632618,-49.270834,-2.855428
1995,-23.498844,-49.443738,-2.219578
1996,-21.289159,-49.422487,-0.641530
1997,-18.960760,-48.191126,-1.497953
1998,-13.955260,-47.341225,-0.911823
1999,-16.398415,-46.684783,-1.209340
2000,-27.890808,-46.629017,-1.620990
2001,-41.556355,-48.821518,-0.444516
2002,-51.334399,-51.730440,-3.269790
2003,-36.243189,-54.548350,-3.274553
2004,-50.551365,-58.015959,-1.831670
2005,-41.773264,-60.826943,-4.375329
2006,-54.739281,-62.707711,-6.551562
2007,-38.807989,-62.731417,-5.089296
2008,-41.654294,-64.036278,-6.459852
2009,-68.000176,-66.320379,-4.756861
2010,-37.663648,-68.240351,1.829582
2011,-54.997959,-70.465352,-4.576409
2012,-57.710455,-71.817075,-6.222718
2013,-52.532527,-72.546211,-6.532656
2014,-53.185891,-71.354678,-9.237677
2015,-51.972008,-69.173535,-10.047311
2016,-48.887836,-61.148569,-6.207329
2017,-47.430590,-58.968379,-4.092248
2018,-37.917160,-52.659338,-6.003757
2019,-40.094712,-48.697088,-5.544255
2020,-38.873061,-44.932914,-5.253370
2021,-37.174724,-44.977542,-2.721033
2022,-35.339976,-44.977542,-4.582052
