"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,0.330105,1.509114,0.763033,"NaN",0.062715,0.006053
2001,0.367480,1.492824,0.884179,"NaN",0.065300,0.007135
2002,0.392191,1.614663,0.960813,"NaN",0.077410,0.008645
2003,0.400580,1.770391,1.023198,"NaN",0.075252,0.014150
2004,0.448822,1.962364,1.071181,"NaN",0.061168,0.021299
2005,0.485144,1.954910,1.154131,"NaN",0.058460,0.025219
2006,0.517746,1.938482,1.188404,"NaN",0.081436,0.030406
2007,0.581862,1.922063,1.266194,"NaN",0.081042,0.034115
2008,0.627514,1.810069,1.329902,"NaN",0.070315,0.046953
2009,0.629622,1.862030,1.372480,"NaN",0.070032,0.055908
2010,0.646145,1.926737,1.555400,"NaN",0.053425,0.070056
2011,0.657068,1.956016,1.595450,"NaN",0.078803,0.077217
2012,0.689622,2.062216,1.750806,"NaN",0.083224,0.099038
2013,0.678727,2.085979,1.759116,"NaN",0.053101,0.134445
2014,0.748334,2.103750,1.798010,"NaN",0.050359,0.163099
2015,0.734665,2.191598,1.834594,"NaN",0.036459,0.178287
2016,0.748909,2.269694,1.820313,"NaN",0.034146,0.205963
2017,0.751884,2.334979,1.803017,"NaN",0.044906,0.237434
2018,0.801611,2.382604,1.800706,"NaN",0.072359,0.277500
2019,0.714430,2.407697,1.833824,"NaN",0.059878,0.321741
2020,0.763860,2.159436,1.686705,"NaN",0.042923,0.312713
2021,0.782187,2.171613,1.692494,"NaN",0.042767,0.318170
2022,0.711213,2.385600,1.595450,"NaN",0.061934,0.309075
