"Year","Total"
1959,3.564567
1960,3.403173
1961,4.109552
1962,4.174999
1963,5.343636
1964,7.266700
1965,11.750129
1966,12.893237
1967,12.824484
1968,6.625858
1969,12.099904
1970,21.519959
1971,32.251517
1972,41.387602
1973,49.532348
1974,62.235495
1975,47.351673
1976,55.189580
1977,50.504644
1978,48.222927
1979,70.185587
1980,68.035184
1981,65.810503
1982,65.393573
1983,59.705247
1984,69.405882
1985,69.635960
1986,73.192175
1987,59.024431
1988,70.421346
1989,42.119387
1990,38.857279
1991,41.929195
1992,46.265317
1993,44.814164
1994,80.462207
1995,84.343391
1996,97.889667
1997,95.781511
1998,86.492635
1999,84.992159
2000,96.846745
2001,100.192218
2002,89.918621
2003,100.087684
2004,94.836950
2005,101.474233
2006,89.950140
2007,81.940547
2008,87.273663
2009,77.229232
2010,111.426823
2011,125.429284
2012,109.065934
2013,116.344833
2014,122.980448
2015,109.217160
2016,116.932580
2017,112.759183
2018,105.599597
2019,127.337628
2020,123.822165
2021,131.113266
2022,128.759473
