"Year","Total"
1959,755.794581
1960,813.950210
1961,834.839623
1962,883.168603
1963,945.497986
1964,968.917486
1965,960.102238
1966,951.421993
1967,936.229418
1968,984.790813
1969,1052.000832
1970,1026.022305
1971,1037.236782
1972,1041.480969
1973,1085.738380
1974,1062.726927
1975,1002.446986
1976,1090.840479
1977,1052.608577
1978,1079.132603
1979,1117.888357
1980,1100.065995
1981,1048.523357
1982,1015.733894
1983,1011.604905
1984,1033.244579
1985,1044.117955
1986,1047.471904
1987,1032.442842
1988,1029.024130
1989,1008.792342
1990,1054.740644
1991,1016.870291
1992,969.474183
1993,959.367198
1994,943.184837
1995,939.897145
1996,959.653348
1997,931.486946
1998,923.466993
1999,895.402128
2000,898.938036
2001,915.242152
2002,898.834509
2003,899.858375
2004,885.632528
2005,865.470707
2006,877.497665
2007,850.229804
2008,852.857863
2009,788.285820
2010,831.129584
2011,807.613932
2012,812.815530
2013,833.804367
2014,794.738546
2015,798.084702
2016,801.744547
2017,785.985851
2018,754.811138
2019,707.491365
2020,647.252333
2021,678.798872
2022,665.604705
