"Year","Total"
1959,17.191805
1960,16.798537
1961,17.340838
1962,21.604546
1963,22.639942
1964,26.302962
1965,27.352956
1966,31.505761
1967,33.479114
1968,36.265487
1969,38.752698
1970,42.579228
1971,47.638158
1972,53.721839
1973,59.310000
1974,60.928644
1975,65.419329
1976,73.359398
1977,81.120721
1978,76.713876
1979,75.037845
1980,75.212270
1981,79.185990
1982,86.210026
1983,89.812184
1984,94.906029
1985,105.662356
1986,115.617877
1987,128.442187
1988,124.727506
1989,137.569948
1990,151.614981
1991,158.126315
1992,164.064876
1993,171.138875
1994,167.565647
1995,181.355257
1996,199.646693
1997,212.108198
1998,212.135043
1999,207.927912
2000,229.936660
2001,213.581229
2002,221.225642
2003,236.765649
2004,244.768581
2005,264.870636
2006,282.368323
2007,313.693363
2008,310.622132
2009,316.412299
2010,316.193043
2011,342.057326
2012,356.107201
2013,347.331771
2014,364.028278
2015,384.929660
2016,405.950210
2017,430.900877
2018,422.058620
2019,402.692254
2020,412.926872
2021,452.702790
2022,435.684586
