"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,0.544253,3.927941,0.349362,0.061760,3.240422,0.360612
2001,0.535637,3.958824,0.442303,0.144914,2.833066,0.357456
2002,0.518437,3.880455,0.522585,0.139512,3.006201,0.393278
2003,0.537907,3.773596,0.584903,0.133829,3.190768,0.399634
2004,0.563965,3.900832,0.695609,0.115585,3.327930,0.435881
2005,0.543905,3.966035,0.724576,0.097484,3.478602,0.464424
2006,0.536306,4.056230,0.762112,0.135197,3.572974,0.467803
2007,0.568338,4.259852,0.784859,0.120634,3.807263,0.603420
2008,0.576476,4.434379,0.923792,0.135600,3.738510,0.772482
2009,0.465146,4.387687,0.744070,0.125003,3.930902,0.854111
2010,0.605511,4.699733,0.992764,0.139253,4.029706,0.999165
2011,0.646823,4.866611,0.989403,0.149232,4.253841,0.958932
2012,0.640079,5.155024,1.172755,0.151918,4.099829,0.992749
2013,0.689928,5.295609,1.381780,0.145460,3.836220,1.157185
2014,0.733571,5.506538,1.463597,0.143922,3.642059,1.342219
2015,0.737932,5.171624,1.545715,0.137072,3.487599,1.581103
2016,0.666539,4.897048,1.335164,0.146713,3.670966,1.639365
2017,0.702989,4.947179,1.354753,0.144699,3.553523,1.763632
2018,0.687523,4.705997,1.292069,0.143256,3.704801,1.979840
2019,0.646245,4.685741,1.286401,0.146870,3.775655,2.177711
2020,0.587278,4.423509,1.131253,0.127494,3.747642,2.202549
2021,0.712471,4.779510,1.456072,0.132921,3.417763,2.355674
2022,0.585582,5.006519,1.151143,0.131125,4.008753,2.526408
