"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,1.537732,3.428322,3.648302,0.868921,0.054139,0.054690
2001,1.629163,3.412503,3.630715,0.914326,0.042882,0.062240
2002,1.495111,3.386926,3.583229,0.885797,0.050306,0.071706
2003,1.595334,3.413948,3.593131,0.888513,0.033699,0.085110
2004,1.557021,3.507739,3.671565,0.796375,0.050256,0.105401
2005,1.585668,3.609236,3.577917,0.807349,0.050747,0.137620
2006,1.731561,3.572792,3.393369,0.741648,0.047052,0.157541
2007,1.630409,3.472603,3.430819,0.615670,0.051684,0.175477
2008,1.513200,3.400780,3.521971,0.509505,0.052009,0.216121
2009,1.248102,3.238845,3.284053,0.666623,0.052560,0.257876
2010,1.277311,3.186722,3.545742,0.595818,0.035885,0.292040
2011,1.287735,3.122321,2.949066,0.657377,0.056526,0.358330
2012,1.624515,3.038490,2.768355,0.666887,0.052406,0.415956
2013,1.565728,2.964336,2.747727,0.664769,0.046129,0.549055
2014,1.264299,2.964167,2.521998,0.596598,0.057423,0.659918
2015,0.998363,3.046380,2.593636,0.654418,0.061050,0.838670
2016,0.508220,3.135373,2.904251,0.663319,0.051758,0.843399
2017,0.411216,3.176947,2.827768,0.646640,0.056351,0.990911
2018,0.348431,3.135100,2.828377,0.594669,0.051845,1.118328
2019,0.248554,3.072869,2.796419,0.511616,0.056300,1.222006
2020,0.228177,2.367573,2.632841,0.456157,0.064904,1.354087
2021,0.236905,2.452990,2.801757,0.414945,0.051772,1.239391
2022,0.211400,2.667756,2.591284,0.429816,0.049891,1.364607
