"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,0,3.102065,1.703502,"NaN","NaN",0
2001,0.000330,3.283868,1.836198,"NaN","NaN",0
2002,0.000519,3.393319,1.939140,"NaN","NaN",0
2003,0.000661,3.594375,2.054052,"NaN","NaN",0
2004,0.000590,3.881966,2.246256,"NaN","NaN",0
2005,0.001171,4.082402,2.436408,"NaN","NaN",0
2006,0.000830,4.327416,2.512366,"NaN","NaN",0
2007,0.002323,4.451119,2.545164,"NaN","NaN",0
2008,0.002687,4.908729,2.751048,"NaN","NaN",0.000006
2009,0.000985,5.254517,2.682990,"NaN","NaN",0.000006
2010,0.002830,5.823142,2.997972,"NaN","NaN",0.000041
2011,0.002756,6.048146,3.155292,"NaN","NaN",0.000054
2012,0.003232,6.370587,3.397086,"NaN","NaN",0.000253
2013,0.004136,6.406814,3.421026,"NaN","NaN",0.000417
2014,0.005734,7.046604,3.501396,"NaN","NaN",0.000447
2015,0.003731,7.427486,3.572190,"NaN","NaN",0.000445
2016,0.003079,7.652505,3.791412,"NaN","NaN",0.000442
2017,0.004822,7.516050,3.933008,"NaN","NaN",0.000669
2018,0.004012,7.124862,4.035600,"NaN","NaN",0.001565
2019,0.004221,6.696194,4.001400,"NaN","NaN",0.002016
2020,0.003701,6.331823,4.069800,"NaN","NaN",0.002014
2021,0.004604,6.622102,4.120584,"NaN","NaN",0.007876
2022,0.004604,7.150611,4.332878,"NaN","NaN",0.007856
