"Year","Coal","Oil","Gas","Cement","Flaring"
2000,20.716256,23.193120,3.063104,5.628471,1.334513
2001,24.951840,25.563728,2.564800,6.573677,1.329788
2002,27.489548,28.636320,4.099801,8.273782,1.028340
2003,31.974216,29.501133,5.206298,9.366052,1.213869
2004,34.791912,33.890605,8.760263,10.300662,1.195741
2005,39.457616,33.859024,9.394496,11.982747,1.151834
2006,42.744224,32.411744,11.211840,12.257934,1.026514
2007,36.462820,37.356804,12.479136,14.063253,1.067521
2008,43.641904,40.421248,13.901216,15.362524,0.975806
2009,45.488560,43.341456,15.374144,19.238715,1.050518
2010,47.463456,49.302784,18.048864,23.770031,0.978707
2011,59.547328,47.177664,16.279152,28.222820,1.333301
2012,52.305870,44.208646,17.956785,28.117955,1.687895
2013,56.541395,43.908247,18.718895,30.315962,1.953489
2014,78.072512,49.570256,19.598736,32.694374,1.907003
2015,97.816073,61.066805,20.463077,34.297526,1.818475
2016,106.855071,57.593432,20.367828,36.822063,1.565538
2017,108.221727,59.075667,17.876957,42.735310,1.732835
2018,122.121120,66.036272,18.554496,49.637399,1.373005
2019,191.442515,73.449380,18.906455,56.537815,1.452613
2020,215.816928,69.271584,16.931344,60.066041,1.256760
2021,211.892984,63.837846,13.756717,62.070800,0.994693
2022,201.102137,68.027576,14.814926,58.551695,1.110279
