"Year","Total"
1959,11.221376
1960,12.540118
1961,14.448706
1962,17.261588
1963,21.083171
1964,22.195155
1965,24.978308
1966,29.982233
1967,35.113237
1968,37.197142
1969,42.468221
1970,53.716351
1971,58.533736
1972,60.247062
1973,72.974635
1974,75.550511
1975,81.665798
1976,93.104556
1977,105.459699
1978,113.119296
1979,132.874243
1980,134.524426
1981,139.589730
1982,140.781901
1983,149.133610
1984,160.700458
1985,168.757669
1986,176.297245
1987,185.358380
1988,210.953466
1989,223.510385
1990,250.510837
1991,275.688225
1992,299.905413
1993,330.173952
1994,355.694835
1995,383.665454
1996,420.996075
1997,444.967619
1998,378.037781
1999,410.518806
2000,439.980692
2001,455.630633
2002,476.064880
2003,485.212785
2004,491.389426
2005,498.688299
2006,503.478183
2007,521.708715
2008,532.650764
2009,537.819831
2010,594.339110
2011,623.442837
2012,627.943034
2013,634.580703
2014,629.366484
2015,634.177278
2016,637.914084
2017,654.537269
2018,670.168699
2019,646.102263
2020,597.634251
2021,616.074988
2022,600.999349
