"Year","Total"
1959,39.017080
1960,46.851821
1961,49.136047
1962,53.613247
1963,55.523040
1964,56.626316
1965,56.279223
1966,64.162421
1967,66.032557
1968,77.224148
1969,84.088419
1970,93.488195
1971,102.337052
1972,114.018819
1973,132.060773
1974,143.015696
1975,150.326584
1976,154.606986
1977,162.363353
1978,177.117180
1979,187.787159
1980,186.190694
1981,171.324425
1982,171.499695
1983,165.899800
1984,167.567454
1985,180.110732
1986,197.238400
1987,205.967678
1988,207.695274
1989,212.071063
1990,218.658000
1991,229.394000
1992,233.601000
1993,244.306000
1994,254.002000
1995,268.678000
1996,289.311000
1997,306.949000
1998,317.359000
1999,327.256000
2000,340.183000
2001,346.166000
2002,347.765000
2003,344.645000
2004,361.434000
2005,364.371000
2006,368.871000
2007,390.573000
2008,412.638000
2009,389.775000
2010,440.269000
2011,462.580000
2012,498.309000
2013,532.418000
2014,557.901000
2015,529.353000
2016,492.748000
2017,497.121362
2018,477.998615
2019,473.464387
2020,444.504328
2021,497.206335
2022,483.477312
