"Year","Total"
1959,189.660131
1960,199.577073
1961,207.235406
1962,216.607175
1963,230.998833
1964,242.880480
1965,246.980862
1966,252.430992
1967,259.025458
1968,275.801012
1969,293.365308
1970,304.143398
1971,312.880813
1972,329.506377
1973,335.589959
1974,346.236580
1975,374.780086
1976,398.118734
1977,417.954963
1978,430.870059
1979,441.308627
1980,463.329078
1981,408.996956
1982,420.970430
1983,421.023769
1984,432.467362
1985,444.507861
1986,451.848670
1987,463.732639
1988,444.229969
1989,422.175098
1990,376.641251
1991,373.622774
1992,364.510580
1993,365.174879
1994,360.218424
1995,362.614549
1996,377.285410
1997,367.235674
1998,339.076430
1999,329.266197
2000,317.452222
2001,313.500550
2002,306.122760
2003,318.949735
2004,323.794120
2005,322.765058
2006,336.572661
2007,335.920200
2008,329.567078
2009,316.021210
2010,334.224575
2011,333.598765
2012,325.953296
2013,321.927044
2014,309.582449
2015,312.715421
2016,323.546990
2017,336.765416
2018,336.080905
2019,317.682527
2020,302.437094
2021,331.077163
2022,323.117324
