"Year","Coal","Oil","Gas","Cement","Flaring"
2000,0.007328,31.539712,13.179408,1.010746,51.109551
2001,0.007328,37.204256,11.607552,0.966468,50.406614
2002,0.113580,37.572861,11.889218,0.842293,39.500669
2003,0.062288,34.203440,20.097040,0.918823,44.806093
2004,0.021984,30.847216,20.507408,0.915136,42.545206
2005,0.021983,39.793327,20.631270,1.069961,39.957692
2006,0.021984,31.979392,21.617600,1.295509,35.035655
2007,0.062288,27.260160,22.233152,1.819758,30.565190
2008,0.084272,33.499952,20.653968,3.846351,29.189120
2009,0.091600,27.252832,18.052528,3.851096,27.981176
2010,0.102592,58.741248,20.195968,3.856151,28.530864
2011,0.084270,69.441833,28.003162,4.589556,23.310463
2012,0.128240,55.857680,28.872320,6.117632,18.090062
2013,0.117248,62.251360,28.630496,7.784834,17.560895
2014,0.120915,66.606098,32.676487,7.749861,15.827087
2015,0.124576,54.109952,32.448384,8.137354,14.396894
2016,0.139228,60.538415,34.433216,8.524847,13.296875
2017,0.135564,58.471898,32.414367,7.362368,14.374986
2018,0.128240,48.434416,34.339008,8.524847,14.173086
2019,0.146564,68.584751,35.105807,8.912340,14.588166
2020,0.113584,64.816160,35.291648,10.074819,13.525954
2021,0.113584,70.114855,37.189048,11.237298,12.458480
2022,0.113584,71.359452,36.050608,11.237298,9.998531
