"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,0.027046,0.953777,1.162682,0.063098,0.304188,0.004807
2001,0.022165,0.883255,1.088461,0.071640,0.386873,0.004694
2002,0.016511,0.838327,1.059753,0.058695,0.375957,0.006862
2003,0.020138,0.855008,1.210646,0.075801,0.352893,0.010934
2004,0.034271,0.916871,1.325129,0.078334,0.316015,0.010722
2005,0.039462,0.959992,1.414404,0.067986,0.352710,0.011272
2006,0.035726,1.012770,1.463418,0.075894,0.389407,0.012738
2007,0.051697,1.125391,1.537639,0.070858,0.317804,0.012934
2008,0.063058,1.138304,1.554794,0.071777,0.315623,0.014285
2009,0.034635,1.087300,1.506080,0.078946,0.348043,0.014034
2010,0.048499,1.178769,1.515147,0.069132,0.333335,0.037407
2011,0.052627,1.223683,1.578232,0.060991,0.309722,0.047472
2012,0.049209,1.297841,1.643912,0.060641,0.287881,0.057860
2013,0.053781,1.377287,1.656997,0.058439,0.321537,0.064992
2014,0.057210,1.367696,1.661579,0.051604,0.316152,0.073246
2015,0.056931,1.396116,1.679492,0.065484,0.313502,0.077459
2016,0.043879,1.353258,1.735560,0.076619,0.286738,0.076673
2017,0.045091,1.337319,1.738801,0.055970,0.302694,0.089155
2018,0.049353,1.276652,1.753277,0.062809,0.307442,0.094111
2019,0.029246,1.158597,1.676121,0.076874,0.261004,0.136648
2020,0.036055,1.037502,1.581525,0.090826,0.223789,0.161687
2021,0.050589,1.289159,1.653627,0.091929,0.185085,0.206030
2022,0.051836,1.378020,1.644587,0.067271,0.224219,0.237570
