"Year","Total"
1959,3.321198
1960,3.709492
1961,4.140715
1962,5.026779
1963,5.561604
1964,7.470283
1965,7.440199
1966,9.465437
1967,12.150141
1968,17.075663
1969,14.540027
1970,15.352543
1971,19.202178
1972,21.759532
1973,24.344560
1974,24.103836
1975,24.236139
1976,28.554744
1977,31.869153
1978,34.741210
1979,36.362618
1980,39.717526
1981,37.523256
1982,37.311808
1983,41.745955
1984,45.116800
1985,47.791672
1986,48.768181
1987,53.571299
1988,60.490627
1989,71.403813
1990,86.563264
1991,95.044846
1992,105.513443
1993,121.855067
1994,136.870017
1995,153.650025
1996,173.565807
1997,181.202717
1998,159.704042
1999,167.234719
2000,167.352142
2001,172.266844
2002,184.665452
2003,191.087725
2004,207.330688
2005,214.325128
2006,215.824674
2007,224.082597
2008,224.248705
2009,228.836240
2010,241.018986
2011,244.878156
2012,262.347648
2013,263.753495
2014,272.487652
2015,277.098706
2016,284.045321
2017,283.347635
2018,288.346346
2019,281.870330
2020,271.852005
2021,267.219026
2022,270.746357
