"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,11.858134,26.730809,12.919828,8.784162,3.792753,0.648234
2001,11.827841,27.098919,13.367810,9.021086,3.973975,0.734599
2002,11.892855,26.891285,13.463924,9.098585,3.325409,0.904529
2003,12.298960,27.003972,14.190977,9.088622,3.203678,1.068354
2004,12.082895,27.171468,14.573025,9.244247,3.379932,1.344348
2005,11.687205,27.229135,15.072811,9.064635,3.169493,1.602585
2006,12.002511,27.255819,15.025258,8.989292,3.187542,1.888012
2007,12.121341,26.653619,14.778115,8.520260,3.147819,2.282255
2008,11.231124,26.378483,15.089687,8.591217,3.313122,2.639465
2009,9.957592,24.841206,14.173397,7.958389,3.319425,2.975421
2010,10.451614,24.723268,15.236072,8.188306,3.735750,3.448265
2011,10.747865,23.963334,14.023977,7.983976,3.050871,4.047049
2012,10.701827,23.041640,13.775206,7.691010,3.264062,4.700320
2013,10.498387,22.458883,13.497255,7.590698,3.597798,5.025672
2014,9.995656,22.044431,11.935779,7.604404,3.597064,5.318673
2015,9.981669,22.412445,12.482871,7.319463,3.247740,5.850868
2016,9.583080,22.801484,13.269615,7.101917,3.322789,5.881196
2017,9.463695,23.250072,13.880379,6.982093,2.809562,6.433550
2018,9.064175,23.219842,13.618704,6.963991,3.263939,6.620962
2019,7.298488,23.156216,14.115757,6.968578,3.010051,7.171832
2020,6.017128,20.262254,13.661673,6.201261,3.270215,7.707833
2021,6.843064,21.277571,14.275161,6.614155,3.271308,7.878499
2022,6.978611,22.021970,12.343983,5.481124,2.598522,8.623627
