"Year","Coal","Oil","Gas","Cement","Flaring"
2000,2.163759,2.487797,1.251264,0.041445,0.038915
2001,2.099619,2.502393,1.198819,0.041613,0.038696
2002,2.103791,2.495597,1.237949,0.043164,0.038893
2003,2.143993,2.557467,1.201023,0.043349,0.038567
2004,2.164773,2.630825,1.204496,0.045886,0.039120
2005,2.188244,2.642692,1.186858,0.046194,0.039430
2006,2.152459,2.609708,1.173211,0.046851,0.040037
2007,2.175189,2.592216,1.247391,0.045509,0.040463
2008,2.135724,2.414708,1.252781,0.041416,0.042054
2009,1.872449,2.280345,1.231607,0.029615,0.041082
2010,1.982954,2.300574,1.290495,0.031449,0.043407
2011,1.873284,2.252414,1.310707,0.032208,0.047863
2012,1.658491,2.196025,1.372072,0.035270,0.051515
2013,1.720408,2.224628,1.410482,0.036369,0.057423
2014,1.710594,2.247931,1.435209,0.039439,0.063124
2015,1.479145,2.285676,1.476136,0.039907,0.064372
2016,1.347943,2.299961,1.481873,0.039439,0.055139
2017,1.308716,2.315177,1.460656,0.040324,0.059486
2018,1.256631,2.366169,1.619275,0.038971,0.072066
2019,1.071666,2.360999,1.675471,0.040896,0.088437
2020,0.877920,2.047544,1.656255,0.040688,0.067749
2021,1.004531,2.239014,1.659226,0.041312,0.063294
2022,0.934698,2.249519,1.743539,0.041418,0.063294
2023,0.763609,2.243346,1.768434,0.039776,0.063294
