"Year","BLUE","H&C2023","OSCAR"
1850,2.631668,0.087093,0.105816
1851,2.895000,0.087826,0.125419
1852,3.087580,0.088559,0.116295
1853,3.197390,0.089292,0.107905
1854,3.335816,0.090244,0.102848
1855,3.402097,0.091087,0.102042
1856,3.498717,0.091930,0.104021
1857,3.579472,0.092736,0.108784
1858,3.651506,0.093542,0.115269
1859,3.698698,0.094385,0.122304
1860,4.638258,0.095191,0.199505
1861,5.090798,0.095960,0.242374
1862,5.437779,0.096766,0.222991
1863,5.707889,0.097536,0.206063
1864,5.851005,0.098305,0.196500
1865,5.999177,0.099038,0.193313
1866,6.185272,0.099807,0.195071
1867,6.254851,0.100540,0.201593
1868,6.300944,0.101273,0.210863
1869,6.371110,0.101969,0.219327
1870,13.264340,0.102702,0.726498
1871,16.852751,0.103398,0.987704
1872,19.198847,0.104094,0.797396
1873,20.782061,0.104790,0.619985
1874,22.098537,0.105450,0.493358
1875,23.099835,0.106146,0.409928
1876,23.891075,0.106916,0.358303
1877,24.564482,0.107612,0.330896
1878,25.237925,0.108344,0.322102
1879,25.669654,0.109041,0.327635
1880,21.487601,0.109773,-0.019602
1881,19.413154,0.110360,-0.176971
1882,18.193116,0.110689,0.004946
1883,17.439907,0.110873,0.184995
1884,16.830547,0.111056,0.333058
1885,16.446194,0.111349,0.454556
1886,16.030733,0.110396,0.557258
1887,15.769856,0.108857,0.644534
1888,15.522499,0.107428,0.719243
1889,15.366743,0.107502,0.783363
1890,20.023723,0.107941,1.196736
1891,22.366522,0.107245,1.428960
1892,23.953253,0.106183,1.330215
1893,24.983057,0.105450,1.232716
1894,25.677312,0.105267,1.164053
1895,26.373582,0.106879,1.123639
1896,26.799742,0.257433,1.129318
1897,27.206263,0.646733,1.190763
1898,27.521476,1.412252,1.298009
1899,27.855890,2.567878,1.449149
1900,30.133139,4.241556,1.792905
1901,31.339145,6.637299,2.411352
1902,32.254302,9.524861,2.263876
1903,32.811816,12.865696,2.314402
1904,33.379370,16.553879,3.114730
1905,33.750863,20.426104,3.601419
1906,34.158300,24.463978,4.366462
1907,34.379202,28.726383,5.265828
1908,34.734903,33.117101,5.241828
1909,34.866844,37.526065,6.929577
1910,34.401846,41.818624,7.102737
1911,34.234181,45.980672,7.988253
1912,34.399427,50.087136,8.243450
1913,34.165921,54.115082,9.408089
1914,34.117886,58.021675,10.374653
1915,34.187831,61.763205,11.154279
1916,34.169255,65.311460,11.617042
1917,34.343478,68.669552,13.414820
1918,34.347545,71.873134,14.153153
1919,34.342745,74.916123,13.939651
1920,36.867058,77.793975,15.896154
1921,38.405242,80.497201,17.085379
1922,39.479197,83.022979,16.967911
1923,40.061663,85.377282,18.039924
1924,40.606940,87.544831,18.773273
1925,41.073184,89.530060,20.079196
1926,41.550859,91.334104,19.521975
1927,41.546536,92.957842,20.341759
1928,41.813531,94.402044,21.204997
1929,42.179052,95.668139,22.551847
1930,43.562175,96.767083,22.307018
1931,44.471031,97.693598,23.355069
1932,44.949402,98.448822,23.736271
1933,45.670771,99.007948,23.995683
1934,45.958358,99.335803,25.753743
1935,46.035119,99.524023,24.406417
1936,46.465785,99.601736,25.930897
1937,46.435704,99.480604,25.962078
1938,46.827899,99.161690,26.470715
1939,46.923236,98.663789,27.564822
1940,58.492572,97.996245,28.260688
1941,64.943521,97.160853,28.217160
1942,68.922185,96.164025,29.359266
1943,71.874380,95.006567,29.431813
1944,73.729536,93.691521,27.747582
1945,75.706118,92.218776,26.711989
1946,76.931982,90.583167,27.754067
1947,78.043933,88.788613,27.816941
1948,79.111732,86.840684,27.505611
1949,79.893080,84.746122,27.216412
1950,79.537782,82.512657,28.259479
1951,85.333058,80.148021,26.690591
1952,87.713925,77.636972,27.501434
1953,90.718112,74.975699,27.854314
1954,91.771255,72.155921,27.098284
1955,92.981548,69.126600,28.024141
1956,96.911151,65.862379,27.352200
1957,102.877536,60.859663,27.012730
1958,107.851049,56.760123,25.887332
1959,111.130732,52.837225,25.172303
1960,124.649207,48.934002,25.758323
1961,91.452707,44.369135,23.401821
1962,78.506000,40.139889,20.324831
1963,70.954679,37.074367,23.453924
1964,65.811083,32.661959,22.992333
1965,64.122382,30.164540,22.457462
1966,73.271170,27.974896,24.248792
1967,79.011046,25.991610,27.691340
1968,81.565147,23.208765,24.899298
