"Year","Total"
1959,23.862235
1960,21.385193
1961,26.001595
1962,22.974894
1963,22.763095
1964,22.374265
1965,24.668226
1966,23.374953
1967,24.540046
1968,27.562608
1969,33.362215
1970,35.791387
1971,38.955265
1972,43.306282
1973,49.098094
1974,51.226504
1975,53.932537
1976,61.788247
1977,82.416403
1978,93.938113
1979,95.137003
1980,94.872873
1981,100.297052
1982,105.583980
1983,105.183842
1984,112.460239
1985,121.597383
1986,122.166074
1987,123.878476
1988,132.721211
1989,131.673524
1990,155.080824
1991,174.864999
1992,199.418666
1993,215.108733
1994,219.371652
1995,222.410472
1996,253.065009
1997,279.941499
1998,244.522969
1999,292.000926
2000,281.330357
2001,317.027200
2002,308.485929
2003,339.357485
2004,343.021521
2005,347.617048
2006,346.633463
2007,387.858038
2008,365.718281
2009,398.942057
2010,445.806092
2011,500.724554
2012,515.954158
2013,489.055127
2014,487.889952
2015,539.149234
2016,540.085658
2017,556.944243
2018,594.101355
2019,650.905948
2020,605.984529
2021,615.923413
2022,728.883255
