"Year","Total"
1959,92.694746
1960,96.539213
1961,99.564014
1962,104.493409
1963,112.032803
1964,119.118973
1965,126.363244
1966,133.450424
1967,139.513442
1968,143.395417
1969,149.303274
1970,157.081238
1971,166.560973
1972,175.133156
1973,182.406816
1974,189.215756
1975,198.758184
1976,206.220858
1977,213.041483
1978,220.155301
1979,221.821613
1980,230.434881
1981,225.745811
1982,229.913117
1983,232.964702
1984,234.837375
1985,253.337525
1986,258.138517
1987,256.083429
1988,274.206851
1989,264.740363
1990,268.173094
1991,261.065933
1992,236.131075
1993,208.216788
1994,174.933435
1995,168.285926
1996,154.505018
1997,146.425374
1998,144.282671
1999,119.265287
2000,143.380198
2001,138.768536
2002,157.524848
2003,175.854719
2004,186.355686
2005,200.041970
2006,220.574705
2007,226.744683
2008,226.830973
2009,224.549713
2010,248.803234
2011,238.987657
2012,246.345331
2013,255.164925
2014,274.289680
2015,278.661278
2016,277.695737
2017,293.476476
2018,307.174088
2019,275.289762
2020,255.486480
2021,255.142934
2022,271.178278
