"Year","Total"
1959,3.183244
1960,4.201450
1961,4.684919
1962,4.776549
1963,5.827968
1964,7.399409
1965,8.380229
1966,9.834393
1967,10.127602
1968,10.530226
1969,9.137758
1970,14.585889
1971,16.662594
1972,17.900625
1973,17.505127
1974,19.044679
1975,19.445158
1976,23.897643
1977,22.620840
1978,23.260444
1979,27.305937
1980,28.032597
1981,30.877661
1982,30.641940
1983,38.048307
1984,34.794433
1985,36.329771
1986,40.101885
1987,40.877684
1988,42.869204
1989,50.083870
1990,54.269364
1991,65.785134
1992,72.961016
1993,86.718637
1994,88.036035
1995,110.840967
1996,110.632795
1997,119.628817
1998,109.781682
1999,103.986550
2000,122.878052
2001,130.890038
2002,132.035231
2003,153.384337
2004,169.678293
2005,169.967331
2006,170.166447
2007,175.450793
2008,192.847062
2009,192.119079
2010,199.346103
2011,203.452342
2012,212.989976
2013,241.671084
2014,245.049713
2015,235.505741
2016,236.817369
2017,244.105591
2018,262.207181
2019,267.494282
2020,269.248663
2021,278.861198
2022,291.071365
