"Year","Coal","Oil","Gas","Cement","Flaring"
2000,1.207057,1.516363,0.720223,0.093298,0.020743
2001,1.202968,1.556611,0.744427,0.091034,0.019610
2002,1.208432,1.546163,0.750142,0.090129,0.020271
2003,1.241761,1.556346,0.788234,0.091356,0.021272
2004,1.237501,1.549525,0.806197,0.095552,0.020010
2005,1.200940,1.544059,0.828366,0.096019,0.020855
2006,1.218972,1.528994,0.829638,0.098795,0.022790
2007,1.239465,1.476012,0.821079,0.103244,0.022572
2008,1.151213,1.465429,0.845319,0.096063,0.022337
2009,1.014536,1.390077,0.791171,0.078539,0.020415
2010,1.068291,1.371878,0.854909,0.076952,0.021098
2011,1.088125,1.315543,0.789892,0.075695,0.021622
2012,1.085444,1.269254,0.772965,0.071335,0.021556
2013,1.055792,1.242029,0.751878,0.067609,0.023215
2014,1.017045,1.224021,0.668978,0.070798,0.022548
2015,1.012759,1.249928,0.700203,0.070178,0.022180
2016,0.963195,1.264779,0.740535,0.070152,0.021711
2017,0.948676,1.269980,0.768516,0.072298,0.022244
2018,0.899520,1.258230,0.754191,0.073608,0.021906
2019,0.739007,1.258029,0.775412,0.073556,0.021095
2020,0.611348,1.139091,0.755413,0.070408,0.018948
2021,0.693473,1.193084,0.791159,0.072420,0.017726
2022,0.711275,1.236899,0.686313,0.071725,0.017741
2023,0.577356,1.217836,0.640847,0.065491,0.017741
