"Year","Total"
1959,1.853687
1960,2.674363
1961,3.568320
1962,6.250041
1963,6.938814
1964,7.041168
1965,4.216254
1966,6.407326
1967,25.485477
1968,29.079118
1969,35.270951
1970,45.251330
1971,59.756657
1972,70.281718
1973,95.053571
1974,98.701899
1975,83.260886
1976,101.459598
1977,118.070475
1978,115.024585
1979,138.004737
1980,169.240417
1981,175.304540
1982,157.893284
1983,160.836962
1984,155.512397
1985,172.421194
1986,204.603783
1987,190.446877
1988,202.251915
1989,203.423891
1990,208.496989
1991,288.545496
1992,316.174686
1993,340.642423
1994,333.642993
1995,268.131871
1996,263.325846
1997,221.670027
1998,213.156893
1999,231.482473
2000,302.328170
2001,302.702781
2002,331.979811
2003,333.990690
2004,401.013179
2005,402.847720
2006,439.116936
2007,394.102804
2008,440.343641
2009,473.214888
2010,524.604124
2011,502.926108
2012,566.825513
2013,544.563564
2014,612.841913
2015,678.849324
2016,697.420312
2017,680.853917
2018,686.896295
2019,707.125241
2020,610.772973
2021,631.437344
2022,662.549351
