"Year","BLUE","H&C2023","OSCAR"
1850,8.650667,4.180551,3.644398
1851,8.990833,4.046338,3.715516
1852,9.294725,3.952393,3.823750
1853,9.534168,3.863395,3.893806
1854,9.830072,3.849728,4.036152
1855,9.893276,3.621754,3.956644
1856,10.110515,3.567600,4.041245
1857,10.240477,3.444526,4.047694
1858,10.281807,3.249308,3.972655
1859,10.534037,3.275763,4.116797
1860,10.633771,3.530447,4.472865
1861,10.052953,2.866127,3.898496
1862,10.579067,3.274663,4.398595
1863,10.589033,3.168700,4.380495
1864,10.479626,2.950216,4.241446
1865,10.338306,2.712826,4.071437
1866,10.393412,2.683550,4.098514
1867,10.673305,2.889320,4.351110
1868,10.541988,2.693993,4.193448
1869,10.444892,2.538236,4.070997
1870,10.521799,2.648376,4.199713
1871,10.591855,2.698206,4.261085
1872,10.635859,2.716160,4.294941
1873,10.696132,2.751261,4.344844
1874,10.810156,2.842018,4.448975
1875,10.730647,2.741002,4.360197
1876,10.745633,2.736495,4.366499
1877,10.746036,2.719970,4.358878
1878,10.602700,2.564031,4.208287
1879,10.726507,2.679373,4.325645
1880,11.276546,3.074243,4.722749
1881,10.661471,2.404207,4.050845
1882,11.313663,3.023643,4.662403
1883,11.299520,2.985904,4.614552
1884,11.162852,2.832822,4.449049
1885,10.961552,2.621152,4.222174
1886,11.032414,2.686518,4.270758
1887,11.307067,2.959486,4.526725
1888,11.150615,2.803949,4.356020
1889,10.999988,2.662775,4.195353
1890,11.472827,2.885656,4.414424
1891,11.757226,3.097069,4.620670
1892,11.919615,3.224613,4.717547
1893,12.119669,3.405871,4.858757
1894,12.356547,3.635018,5.040748
1895,12.397657,3.679352,5.031771
1896,12.506038,3.810120,5.095342
1897,12.590310,3.939386,5.140336
1898,12.481269,3.890838,4.998502
1899,12.739765,4.214333,5.228748
1900,13.717430,4.874036,5.836386
1901,13.354840,4.431974,5.334564
1902,13.575816,4.633494,5.527144
1903,13.714718,4.767047,5.536964
1904,13.943059,4.980255,5.666706
1905,14.177848,5.164518,5.840526
1906,14.202873,5.088710,5.751014
1907,14.319791,5.048699,5.843164
1908,14.384754,4.905620,5.791685
1909,14.229364,4.518848,5.629406
1910,15.816609,4.622063,5.841112
1911,17.040458,5.212223,6.661262
1912,16.438646,4.131710,5.843567
1913,17.790002,5.049725,6.803315
1914,17.991779,4.845054,6.759750
1915,18.082866,4.553692,6.730328
1916,17.958840,4.063559,6.390566
1917,18.328977,4.074258,6.560282
1918,18.936944,4.324692,6.943756
1919,18.887517,3.918941,6.790638
1920,17.007372,3.442218,6.306220
1921,17.617025,4.330848,7.185177
1922,16.302968,3.093552,6.227298
1923,16.204333,3.022873,6.331099
1924,15.722407,2.552306,5.962830
1925,16.720224,3.554996,7.032645
1926,15.957050,2.790576,6.411487
