"Year","Coal","Oil","Gas","Nuclear","Hydro","OtherRenewables"
2000,0.054575,2.792560,2.139872,"NaN",0.040249,0.000389
2001,0.053503,2.879078,2.395177,"NaN",0.043594,0.000356
2002,0.050694,2.903791,2.815932,"NaN",0.084189,0.000318
2003,0.054926,2.917021,2.889963,"NaN",0.100103,0.000288
2004,0.057496,3.056063,3.357217,"NaN",0.123792,0.000480
2005,0.065170,3.276556,3.493688,"NaN",0.148934,0.000731
2006,0.062906,3.570964,3.808224,"NaN",0.189596,0.001285
2007,0.065575,3.596666,4.267880,"NaN",0.182812,0.001435
2008,0.051632,3.706941,4.528322,"NaN",0.075244,0.001983
2009,0.033318,3.609638,4.852599,"NaN",0.067591,0.002297
2010,0.048109,3.367362,5.198018,"NaN",0.102439,0.001813
2011,0.049439,3.432387,5.514934,0.001020,0.106104,0.002365
2012,0.038344,3.538685,5.491639,0.013751,0.123407,0.003060
2013,0.031906,3.776630,5.538042,0.040065,0.143483,0.002377
2014,0.037989,3.461563,6.242434,0.038085,0.141454,0.002493
2015,0.045702,3.050910,6.624701,0.032517,0.128474,0.001569
2016,0.038015,3.047857,7.067486,0.059874,0.148627,0.001802
2017,0.043134,3.093442,7.380143,0.063965,0.165094,0.004150
2018,0.057056,3.236418,7.655162,0.062931,0.093703,0.009537
2019,0.068158,3.406837,7.862024,0.058376,0.321362,0.011818
2020,0.077105,3.269135,8.523625,0.057432,0.219395,0.016423
2021,0.070463,3.327265,8.512753,0.031969,0.140191,0.016725
2022,0.076100,3.691229,8.240905,0.059138,0.069958,0.018815
