"Year","Commercial/institutional: Stationary combustion","Residential: Stationary combustion","All others"
2010,3.124681,3.628957,0.271062
2012,3.160304,3.094930,0.296046
2014,3.174805,2.846861,0.308393
2016,3.189813,2.741377,0.321105
2018,3.211532,2.462326,0.340133
2020,3.206223,2.327034,0.342623
2021,3.223101,2.263010,0.362572
2022,3.247028,2.225811,0.364230
