"Year","Morocco","World"
1950,0.286136,2.372741
1951,0.318441,2.509281
1952,0.377516,2.496828
1953,0.430129,2.519009
1954,0.359747,2.522133
1955,0.347075,2.710743
1956,0.334092,2.829705
1957,0.281918,2.864250
1958,0.293283,2.886446
1959,0.294161,2.981084
1960,0.308927,3.109071
1961,0.312155,3.068418
1962,0.247883,3.117449
1963,0.310690,3.212604
1964,0.338466,3.313059
1965,0.317922,3.389338
1966,0.397390,3.482441
1967,0.383299,3.521091
1968,0.387867,3.638560
1969,0.391034,3.800910
1970,0.476748,4.031813
1971,0.522174,4.112250
1972,0.499186,4.219880
1973,0.582954,4.358162
1974,0.656625,4.257539
1975,0.638686,4.190445
1976,0.647069,4.342568
1977,0.693410,4.387958
1978,0.695491,4.445411
1979,0.826924,4.491730
1980,0.803810,4.385349
1981,0.777807,4.204303
1982,0.814808,4.095304
1983,0.828027,4.047822
1984,0.808774,4.114002
1985,0.791660,4.177916
1986,0.818594,4.164586
1987,0.855023,4.215461
1988,0.882390,4.303169
1989,0.938403,4.285587
1990,0.907499,4.275440
1991,0.947978,4.288762
1992,0.973863,4.101485
1993,1.037669,4.079975
1994,1.073364,4.061836
1995,1.080876,4.097368
1996,1.093538,4.164388
1997,1.094187,4.131378
1998,1.111160,4.059213
1999,1.135170,4.096031
2000,1.162659,4.148800
2001,1.272229,4.125716
2002,1.273173,4.162733
2003,1.232925,4.327484
2004,1.405966,4.421495
2005,1.467564,4.515645
2006,1.499996,4.611727
2007,1.566077,4.688505
2008,1.623806,4.708763
2009,1.587240,4.572416
2010,1.674586,4.774950
2011,1.667522,4.878259
2012,1.707641,4.887112
2013,1.674571,4.868795
2014,1.669409,4.830362
2015,1.686690,4.767311
2016,1.665111,4.713752
2017,1.719871,4.735624
2018,1.734212,4.780249
2019,1.893427,4.778430
2020,1.759780,4.479880
2021,1.894598,4.676995
2022,1.855561,4.676281
2023,1.814681,4.697341
