"Year","Morocco","World"
1950,0.102141,2.378734
1951,0.117326,2.515504
1952,0.137347,2.502896
1953,0.158888,2.524970
1954,0.142533,2.527923
1955,0.130540,2.716614
1956,0.128384,2.835461
1957,0.126321,2.869636
1958,0.120353,2.891376
1959,0.114076,2.985590
1960,0.101230,3.112931
1961,0.095405,3.071906
1962,0.096854,3.120741
1963,0.105748,3.215595
1964,0.096831,3.315825
1965,0.092685,3.391959
1966,0.095659,3.484865
1967,0.096858,3.523155
1968,0.087604,3.640223
1969,0.070075,3.802135
1970,0.076648,4.032588
1971,0.077260,4.112597
1972,0.086596,4.219747
1973,0.090958,4.355556
1974,0.086268,4.253289
1975,0.094674,4.173319
1976,0.097882,4.310191
1977,0.096397,4.352449
1978,0.097412,4.432504
1979,0.092128,4.465701
1980,0.084857,4.364099
1981,0.088616,4.168842
1982,0.087662,4.060496
1983,0.087607,4.023942
1984,0.094119,4.068703
1985,0.086672,4.137420
1986,0.085371,4.122175
1987,0.068292,4.179654
1988,0.068318,4.262697
1989,0.052373,4.241189
1990,0.053275,4.266701
1991,0.052808,4.282473
1992,0.052847,4.090168
1993,0.054288,4.068620
1994,0.057042,4.047994
1995,0.055199,4.083544
1996,0.042944,4.148108
1997,0.033767,4.114970
1998,0.024811,4.044522
1999,0.013854,4.079117
2000,0.006755,4.133621
2001,0.004142,4.107635
2002,0.004136,4.144280
2003,0.003695,4.307030
2004,0.004311,4.399256
2005,0.003561,4.493561
2006,0.005106,4.585831
2007,0.005235,4.661509
2008,0.004062,4.682571
2009,0.003374,4.545518
2010,0.003971,4.744937
2011,0.003838,4.848876
2012,0.004511,4.854014
2013,0.005413,4.837742
2014,0.005043,4.804597
2015,0.004817,4.739116
2016,0.004414,4.682487
2017,0.004380,4.705259
2018,0.004622,4.752195
2019,0.005112,4.747814
2020,0.005016,4.457744
2021,0.005454,4.634748
2022,0.003611,4.678452
2023,0.002392,4.707772
2024,0.001821,4.729075
