"Year","Estonia","World"
1950,6.216021,2.372741
1951,6.651742,2.509281
1952,7.036067,2.496828
1953,7.359624,2.519009
1954,7.952376,2.522133
1955,8.921725,2.710743
1956,9.684828,2.829705
1957,10.502503,2.864250
1958,11.126280,2.886446
1959,11.629716,2.981084
1960,12.001120,3.109071
1961,12.224196,3.068418
1962,12.675936,3.117449
1963,13.437013,3.212604
1964,14.122566,3.313059
1965,14.810952,3.389338
1966,15.475796,3.482441
1967,16.009229,3.521091
1968,16.277579,3.638560
1969,16.767792,3.800910
1970,17.467593,4.031813
1971,18.366180,4.112250
1972,19.149918,4.219880
1973,19.789208,4.358162
1974,20.369217,4.257539
1975,21.237438,4.190445
1976,21.880342,4.342568
1977,22.440021,4.387958
1978,23.020555,4.445411
1979,23.054477,4.491730
1980,23.828761,4.385349
1981,23.234953,4.204303
1982,23.521637,4.095304
1983,23.694360,4.047822
1984,23.742186,4.114002
1985,25.447711,4.177916
1986,25.276826,4.164586
1987,24.485055,4.215461
1988,24.366748,4.303169
1989,24.828594,4.285587
1990,23.503900,4.275440
1991,21.808626,4.288762
1992,15.851814,4.101485
1993,12.918639,4.079975
1994,13.580288,4.061836
1995,12.427919,4.097368
1996,13.267123,4.164388
1997,13.136338,4.131378
1998,11.999502,4.059213
1999,11.349830,4.096031
2000,11.075365,4.148800
2001,11.433664,4.125716
2002,11.135083,4.162733
2003,12.585679,4.327484
2004,12.713650,4.421495
2005,12.615531,4.515645
2006,12.206186,4.611727
2007,14.867134,4.688505
2008,13.324352,4.708763
2009,10.793871,4.572416
2010,14.242761,4.774950
2011,14.274230,4.878259
2012,13.428333,4.887112
2013,14.896883,4.868795
2014,14.289525,4.830362
2015,12.002844,4.767311
2016,13.247640,4.713752
2017,14.129291,4.735624
2018,13.463459,4.780249
2019,9.259787,4.778430
2020,6.918871,4.479880
2021,7.820229,4.676995
2022,8.866235,4.676281
2023,7.574089,4.697341
