"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-5.584545,0.706152,-0.226108,,-1.373910,0.755534
1991,-5.768834,0.890441,-0.280554,,-1.383415,0.743431
1992,-6.001219,1.122826,-0.280962,,-1.392919,0.731327
1993,-6.294251,1.415858,-0.281370,,-1.402424,0.719224
1994,-6.663758,1.785365,-0.165888,,-1.411932,0.707121
1995,-7.129698,2.251304,-0.166079,,-1.421442,0.695018
1996,-7.717237,2.838844,-0.166270,,-1.430953,0.682914
1997,-8.458111,3.579717,-0.166461,,-1.440466,0.670811
1998,-8.561057,4.513942,-0.166652,,-1.449980,0.658708
1999,-8.907814,5.691979,-0.166843,,-1.459497,0.646605
2000,-9.562012,7.177456,0.075865,,-1.469016,0.634501
2001,-10.603887,9.050609,0.076131,,-1.478538,0.622398
2002,-12.134611,11.412613,0.076398,,-1.488062,0.610295
2003,-8.626111,8.735391,0.076666,,-1.497588,0.598192
2004,-8.699567,8.124836,-0.153586,,-1.523618,0.565808
2005,-8.784428,6.433201,0.066895,,-1.530792,0.564246
2006,-8.824956,5.314708,-0.986182,,-1.528762,0.586066
2007,-8.752658,4.401511,-0.471523,,-1.520714,0.596989
2008,-8.799980,4.405207,-0.101275,,-1.527133,0.577525
2009,-9.003079,4.423811,-0.254647,,-1.537288,0.575513
2010,-9.235201,6.091404,-1.191417,,-1.551236,0.559522
2011,-9.444398,8.715680,-2.217803,,-1.552030,0.554270
2012,-9.693599,9.558634,-1.284650,,-1.556677,0.547852
2013,-9.853817,10.327097,-1.228652,,-1.563434,0.535296
2014,-10.029539,10.287972,-0.328328,,-1.570732,0.535935
2015,-10.201554,10.518361,0.132375,,-1.576732,0.542814
2016,-10.281363,10.898692,0.845247,,-1.581436,0.531885
2017,-10.359792,11.404571,0.231486,,-1.581241,0.550829
2018,-10.402647,12.893755,0.286710,,-1.577556,0.576760
2019,-10.427928,12.697227,0.282502,,-1.581449,0.595766
2020,-10.345828,10.696092,0.258016,,-1.577368,0.627937
2021,-10.276817,10.409457,-0.079713,,-1.571267,0.637652
2022,-10.278344,9.676056,-0.484847,,-1.566454,0.654954
2023,-10.249921,11.416597,-0.200254,,-1.554256,0.680468
2024,-10.250510,10.843615,-0.484923,,-1.555432,0.707748
