"Year","Brunei Darussalam","World"
1950,246.682069,2.378734
1951,279.436076,2.515504
1952,269.066629,2.502896
1953,244.557410,2.524970
1954,226.117959,2.527923
1955,234.918955,2.716614
1956,236.597815,2.835461
1957,217.227069,2.869636
1958,193.346547,2.891376
1959,188.172687,2.985590
1960,153.031971,3.112931
1961,131.814067,3.071906
1962,116.715210,3.120741
1963,101.663355,3.215595
1964,99.269609,3.315825
1965,105.011946,3.391959
1966,119.601415,3.484865
1967,124.074332,3.523155
1968,139.199741,3.640223
1969,135.106226,3.802135
1970,143.841098,4.032588
1971,133.800269,4.112597
1972,185.595585,4.219747
1973,244.063507,4.355556
1974,233.139350,4.253289
1975,230.987067,4.173319
1976,269.049215,4.310191
1977,280.339612,4.352449
1978,279.715304,4.432504
1979,291.003527,4.465701
1980,266.916451,4.364099
1981,208.286721,4.168842
1982,204.701198,4.060496
1983,202.370026,4.023942
1984,192.459095,4.068703
1985,180.994367,4.137420
1986,173.692527,4.122175
1987,162.079734,4.179654
1988,157.228921,4.262697
1989,150.989926,4.241189
1990,149.106148,4.266701
1991,152.450545,4.282473
1992,162.899337,4.090168
1993,158.823011,4.068620
1994,157.260912,4.047994
1995,160.567606,4.083544
1996,151.770098,4.148108
1997,147.190302,4.114970
1998,135.640218,4.044522
1999,146.450713,4.079117
2000,148.651199,4.133621
2001,150.080549,4.107635
2002,150.244242,4.144280
2003,154.064204,4.307030
2004,149.295541,4.399256
2005,143.793128,4.493561
2006,150.014180,4.585831
2007,135.891228,4.661509
2008,125.913148,4.682571
2009,117.393741,4.545518
2010,120.911908,4.744937
2011,118.861318,4.848876
2012,113.887217,4.854014
2013,102.338729,4.837742
2014,101.856097,4.804597
2015,103.523758,4.739116
2016,98.776409,4.682487
2017,94.512888,4.705259
2018,91.633335,4.752195
2019,95.589037,4.747814
2020,89.790335,4.457744
2021,83.004809,4.634748
2022,73.715407,4.678452
2023,69.733596,4.707772
2024,73.859517,4.729075
