"Year","Brunei Darussalam","World"
1950,8.572624,2.378734
1951,5.869271,2.515504
1952,5.945310,2.502896
1953,5.983704,2.524970
1954,5.866327,2.527923
1955,4.607392,2.716614
1956,4.267326,2.835461
1957,3.952322,2.869636
1958,4.036469,2.891376
1959,3.889411,2.985590
1960,3.774027,3.112931
1961,3.287093,3.071906
1962,3.826177,3.120741
1963,3.513360,3.215595
1964,3.217009,3.315825
1965,3.008210,3.391959
1966,4.237154,3.484865
1967,3.633209,3.523155
1968,3.396302,3.640223
1969,3.707317,3.802135
1970,60.706063,4.032588
1971,54.460162,4.112597
1972,66.482780,4.219747
1973,67.676431,4.355556
1974,53.571743,4.253289
1975,44.759815,4.173319
1976,36.795198,4.310191
1977,37.748873,4.352449
1978,54.514581,4.432504
1979,41.204820,4.465701
1980,36.952829,4.364099
1981,10.726118,4.168842
1982,13.447030,4.060496
1983,13.350252,4.023942
1984,9.053496,4.068703
1985,11.849643,4.137420
1986,10.142952,4.122175
1987,14.179082,4.179654
1988,23.710535,4.262697
1989,25.567531,4.241189
1990,19.619448,4.266701
1991,25.994425,4.282473
1992,24.712810,4.090168
1993,21.126428,4.068620
1994,18.630733,4.047994
1995,20.208057,4.083544
1996,19.989962,4.148108
1997,20.235888,4.114970
1998,17.911483,4.044522
1999,18.715858,4.079117
2000,18.032303,4.133621
2001,17.273245,4.107635
2002,15.540846,4.144280
2003,17.712005,4.307030
2004,16.907020,4.399256
2005,15.124762,4.493561
2006,19.589836,4.585831
2007,21.777526,4.661509
2008,24.260801,4.682571
2009,20.119196,4.545518
2010,20.435198,4.744937
2011,23.925144,4.848876
2012,23.424150,4.854014
2013,18.545763,4.837742
2014,21.190144,4.804597
2015,16.421348,4.739116
2016,17.852082,4.682487
2017,21.511060,4.705259
2018,21.335945,4.752195
2019,21.605199,4.747814
2020,24.937397,4.457744
2021,25.920515,4.634748
2022,26.872736,4.678452
2023,27.242008,4.707772
2024,26.046932,4.729075
